date,price
2018年05月13日,8723.94
2018年05月12日,8504.89
2018年05月11日,8441.49
2018年05月10日,9043.94
2018年05月09日,9325.18
2018年05月08日,9234.82
2018年05月07日,9373.01
2018年05月06日,9654.80
2018年05月05日,9858.15
2018年05月04日,9700.76
2018年05月03日,9743.86
2018年05月02日,9235.92
2018年05月01日,9119.01
2018年04月30日,9240.55
2018年04月29日,9419.08
2018年04月28日,9348.48
2018年04月27日,8987.05
2018年04月26日,9281.51
2018年04月25日,8845.74
2018年04月24日,9697.50
2018年04月23日,8930.88
2018年04月22日,8802.46
2018年04月21日,8895.58
2018年04月20日,8845.83
2018年04月19日,8294.31
2018年04月18日,8163.42
2018年04月17日,7902.09
2018年04月16日,8058.67
2018年04月15日,8329.11
2018年04月14日,7986.24
2018年04月13日,7895.96
2018年04月12日,7889.25
2018年04月11日,6968.32
2018年04月10日,6834.76
2018年04月09日,6770.73
2018年04月08日,7023.52
2018年04月07日,6911.09
2018年04月06日,6636.32
2018年04月05日,6811.47
2018年04月04日,6853.84
2018年04月03日,7456.11
2018年04月02日,7083.80
2018年04月01日,6844.23
2018年03月31日,6973.53
2018年03月30日,6890.52
2018年03月29日,7165.70
2018年03月28日,7954.48
2018年03月27日,7833.04
2018年03月26日,8209.40
2018年03月25日,8495.78
2018年03月24日,8668.12
2018年03月23日,8879.62
2018年03月22日,8728.47
2018年03月21日,8929.28
2018年03月20日,8913.47
2018年03月19日,8630.65
2018年03月18日,8223.68
2018年03月17日,7916.88
2018年03月16日,8338.35
2018年03月15日,8300.86
2018年03月14日,8269.81
2018年03月13日,9194.85
2018年03月12日,9205.12
2018年03月11日,9578.63
2018年03月10日,8866.00
2018年03月09日,9337.55
2018年03月08日,9395.01
2018年03月07日,9965.57
2018年03月06日,10779.90
2018年03月05日,11573.30
2018年03月04日,11512.60
2018年03月03日,11489.70
2018年03月02日,11086.40
2018年03月01日,10951.00
2018年02月28日,10397.90
2018年02月27日,10725.60
2018年02月26日,10366.70
2018年02月25日,9664.73
2018年02月24日,9813.07
2018年02月23日,10301.10
2018年02月22日,10005.00
2018年02月21日,10690.40
2018年02月20日,11403.70
2018年02月19日,11225.30
2018年02月18日,10551.80
2018年02月17日,11112.70
2018年02月16日,10233.90
2018年02月15日,10166.40
2018年02月14日,9494.63
2018年02月13日,8598.31
2018年02月12日,8926.57
2018年02月11日,8129.97
2018年02月10日,8621.90
2018年02月09日,8736.98
2018年02月08日,8265.59
2018年02月07日,7621.30
2018年02月06日,7754.00
2018年02月05日,6955.27
2018年02月04日,8277.01
2018年02月03日,9174.91
2018年02月02日,8830.75
2018年02月01日,9170.54
2018年01月31日,10221.10
2018年01月30日,10106.30
2018年01月29日,11296.40
2018年01月28日,11786.30
2018年01月27日,11440.70
2018年01月26日,11171.40
2018年01月25日,11259.40
2018年01月24日,11359.40
2018年01月23日,10868.40
2018年01月22日,10931.40
2018年01月21日,11600.10
2018年01月20日,12899.20
2018年01月19日,11607.40
2018年01月18日,11474.90
2018年01月17日,11188.60
2018年01月16日,11490.50
2018年01月15日,13819.80
2018年01月14日,13772.00
2018年01月13日,14360.20
2018年01月12日,13980.60
2018年01月11日,13405.80
2018年01月10日,14973.30
2018年01月09日,14595.40
2018年01月08日,15170.10
2018年01月07日,16477.60
2018年01月06日,17527.00
2018年01月05日,17429.50
2018年01月04日,15599.20
2018年01月03日,15201.00
2018年01月02日,14982.10
2018年01月01日,13657.20
2017年12月31日,14156.40
2017年12月30日,12952.20
2017年12月29日,14656.20
