date,price
2018年05月13日,1493.12
2018年05月12日,1472.40
2018年05月11日,1371.74
2018年05月10日,1528.59
2018年05月09日,1638.34
2018年05月08日,1611.94
2018年05月07日,1655.20
2018年05月06日,1765.69
2018年05月05日,1752.10
2018年05月04日,1517.33
2018年05月03日,1511.97
2018年05月02日,1458.72
2018年05月01日,1351.28
2018年04月30日,1350.05
2018年04月29日,1440.30
2018年04月28日,1396.25
2018年04月27日,1337.85
2018年04月26日,1420.41
2018年04月25日,1284.79
2018年04月24日,1426.42
2018年04月23日,1432.26
2018年04月22日,1201.22
2018年04月21日,1154.69
2018年04月20日,1128.02
2018年04月19日,968.64
2018年04月18日,888.91
2018年04月17日,757.59
2018年04月16日,766.47
2018年04月15日,780.83
2018年04月14日,738.99
2018年04月13日,738.30
2018年04月12日,734.48
2018年04月11日,666.58
2018年04月10日,649.62
2018年04月09日,637.03
2018年04月08日,655.26
2018年04月07日,640.35
2018年04月06日,610.43
2018年04月05日,646.04
2018年04月04日,649.20
2018年04月03日,712.88
2018年04月02日,662.77
2018年04月01日,643.03
2018年03月31日,685.25
2018年03月30日,697.01
2018年03月29日,714.27
2018年03月28日,860.52
2018年03月27日,876.33
2018年03月26日,919.25
2018年03月25日,966.88
2018年03月24日,982.30
2018年03月23日,1019.43
2018年03月22日,1011.52
2018年03月21日,1033.45
2018年03月20日,1059.12
2018年03月19日,994.67
2018年03月18日,938.12
2018年03月17日,949.78
2018年03月16日,977.03
2018年03月15日,943.64
2018年03月14日,949.47
2018年03月13日,1064.03
2018年03月12日,1051.28
2018年03月11日,1145.17
2018年03月10日,1005.93
2018年03月09日,1067.02
2018年03月08日,1040.21
2018年03月07日,1092.16
2018年03月06日,1206.04
2018年03月05日,1268.03
2018年03月04日,1289.08
2018年03月03日,1270.38
2018年03月02日,1275.18
2018年03月01日,1291.92
2018年02月28日,1204.16
2018年02月27日,1246.66
2018年02月26日,1250.56
2018年02月25日,1178.10
2018年02月24日,1193.27
2018年02月23日,1270.71
2018年02月22日,1219.49
2018年02月21日,1308.46
2018年02月20日,1418.73
2018年02月19日,1534.77
2018年02月18日,1487.46
2018年02月17日,1551.39
2018年02月16日,1552.20
2018年02月15日,1375.81
2018年02月14日,1362.27
2018年02月13日,1231.98
2018年02月12日,1283.91
2018年02月11日,1217.64
2018年02月10日,1257.31
2018年02月09日,1312.11
2018年02月08日,1284.56
2018年02月07日,957.96
2018年02月06日,974.52
2018年02月05日,887.41
2018年02月04日,1165.38
2018年02月03日,1272.50
2018年02月02日,1191.14
2018年02月01日,1274.35
2018年01月31日,1486.89
2018年01月30日,1470.55
2018年01月29日,1657.14
2018年01月28日,1746.25
2018年01月27日,1628.63
2018年01月26日,1603.90
2018年01月25日,1642.12
2018年01月24日,1639.13
2018年01月23日,1621.46
2018年01月22日,1621.92
2018年01月21日,1776.64
2018年01月20日,2032.12
2018年01月19日,1769.62
2018年01月18日,1756.75
2018年01月17日,1748.05
2018年01月16日,1772.07
2018年01月15日,2401.54
2018年01月14日,2553.32
2018年01月13日,2685.29
2018年01月12日,2620.99
2018年01月11日,2462.61
2018年01月10日,2895.38
2018年01月09日,2391.56
2018年01月08日,2421.47
2018年01月07日,2786.88
2018年01月06日,2786.65
2018年01月05日,2584.48
2018年01月04日,2430.18
2018年01月03日,2608.69
2018年01月02日,2711.00
2018年01月01日,2432.54
2017年12月31日,2533.01
2017年12月30日,2392.41
2017年12月29日,2779.95
2017年12月28日,2566.64
2017年12月27日,2889.52
2017年12月26日,3108.89
2017年12月25日,2954.69
2017年12月24日,2903.12
2017年12月23日,3257.08
2017年12月22日,2696.69
2017年12月21日,3267.17
2017年12月20日,3923.07
2017年12月19日,2805.89
2017年12月18日,2196.64
2017年12月17日,1862.88
2017年12月16日,1801.88
2017年12月15日,1815.43
2017年12月14日,1966.14
2017年12月13日,1607.65
2017年12月12日,1615.03
2017年12月11日,1423.38
2017年12月10日,1323.07
2017年12月09日,1410.06
2017年12月08日,1464.13
2017年12月07日,1330.93
2017年12月06日,1430.10
2017年12月05日,1501.85
2017年12月04日,1576.92
2017年12月03日,1559.93
2017年12月02日,1434.98
2017年12月01日,1462.68
2017年11月30日,1389.78
2017年11月29日,1359.71
2017年11月28日,1546.18
2017年11月27日,1622.57
2017年11月26日,1735.66
2017年11月25日,1571.27
2017年11月24日,1648.51
2017年11月23日,1683.81
2017年11月22日,1303.31
2017年11月21日,1176.97
2017年11月20日,1236.01
2017年11月19日,1172.05
2017年11月18日,1254.53
2017年11月17日,1185.48
2017年11月16日,900.78
2017年11月15日,1212.40
2017年11月14日,1273.53
2017年11月13日,1353.99
2017年11月12日,1388.86
2017年11月11日,1340.45
2017年11月10日,1007.42
2017年11月09日,654.30
2017年11月08日,622.46
2017年11月07日,616.30
2017年11月06日,602.65
2017年11月05日,630.70
2017年11月04日,620.45
2017年11月03日,625.32
2017年11月02日,587.22
2017年11月01日,531.83
2017年10月31日,439.05
2017年10月30日,448.23
2017年10月29日,451.92
2017年10月28日,423.35
2017年10月27日,367.57
2017年10月26日,338.20
2017年10月25日,332.13
2017年10月24日,326.89
2017年10月23日,315.60
2017年10月22日,331.66
2017年10月21日,323.36
2017年10月20日,327.44
2017年10月19日,330.81
2017年10月18日,339.17
2017年10月17日,371.73
2017年10月16日,313.64
2017年10月15日,314.95
2017年10月14日,321.96
2017年10月13日,321.46
2017年10月12日,313.21
2017年10月11日,314.90
2017年10月10日,321.59
2017年10月09日,314.16
2017年10月08日,342.21
2017年10月07日,360.78
2017年10月06日,363.01
2017年10月05日,355.75
2017年10月04日,358.45
2017年10月03日,404.18
2017年10月02日,421.19
2017年10月01日,415.15
2017年09月30日,432.63
2017年09月29日,436.77
2017年09月28日,447.81
2017年09月27日,457.31
2017年09月26日,441.83
2017年09月25日,445.80
2017年09月24日,421.03
2017年09月23日,428.50
2017年09月22日,415.09
2017年09月21日,416.26
2017年09月20日,476.05
2017年09月19日,527.88
2017年09月18日,479.32
2017年09月17日,419.86
2017年09月16日,440.22
2017年09月15日,424.02
2017年09月14日,367.04
2017年09月13日,503.61
2017年09月12日,510.41
2017年09月11日,537.81
2017年09月10日,537.07
2017年09月09日,547.47
2017年09月08日,583.10
2017年09月07日,652.86
2017年09月06日,638.18
2017年09月05日,541.71
2017年09月04日,517.24
2017年09月03日,607.43
2017年09月02日,575.90
2017年09月01日,622.17
2017年08月31日,588.17
2017年08月30日,575.21
2017年08月29日,552.93
2017年08月28日,596.18
2017年08月27日,620.90
2017年08月26日,625.32
2017年08月25日,641.05
2017年08月24日,628.11
2017年08月23日,669.40
2017年08月22日,690.88
2017年08月21日,599.63
2017年08月20日,712.87
2017年08月19日,754.56
2017年08月18日,690.24
2017年08月17日,460.53
2017年08月16日,300.21
2017年08月15日,297.86
2017年08月14日,297.68
2017年08月13日,298.05
2017年08月12日,317.09
2017年08月11日,328.24
2017年08月10日,275.95
2017年08月09日,303.89
2017年08月08日,345.49
2017年08月07日,319.69
2017年08月06日,220.66
2017年08月05日,213.15
2017年08月04日,233.05
2017年08月03日,364.05
2017年08月02日,452.66
2017年08月01日,380.01
2017年07月31日,294.46
2017年07月30日,345.66
2017年07月29日,384.77
2017年07月28日,406.05
2017年07月27日,385.48
2017年07月26日,365.82
2017年07月25日,406.90
2017年07月24日,440.70
2017年07月23日,413.06
