date,price
2018年05月13日,0.285890
2018年05月12日,0.270932
2018年05月11日,0.260127
2018年05月10日,0.297089
2018年05月09日,0.323593
2018年05月08日,0.328352
2018年05月07日,0.335176
2018年05月06日,0.350021
2018年05月05日,0.366338
2018年05月04日,0.360182
2018年05月03日,0.369709
2018年05月02日,0.372420
2018年05月01日,0.358693
2018年04月30日,0.343318
2018年04月29日,0.365057
2018年04月28日,0.357874
2018年04月27日,0.288489
2018年04月26日,0.294295
2018年04月25日,0.271654
2018年04月24日,0.312875
2018年04月23日,0.288473
2018年04月22日,0.285535
2018年04月21日,0.290580
2018年04月20日,0.301247
2018年04月19日,0.272358
2018年04月18日,0.260341
2018年04月17日,0.243724
2018年04月16日,0.256646
2018年04月15日,0.221390
2018年04月14日,0.200853
2018年04月13日,0.200532
2018年04月12日,0.212233
2018年04月11日,0.166029
2018年04月10日,0.156347
2018年04月09日,0.153106
2018年04月08日,0.156599
2018年04月07日,0.148794
2018年04月06日,0.144451
2018年04月05日,0.148758
2018年04月04日,0.155356
2018年04月03日,0.172447
2018年04月02日,0.156385
2018年04月01日,0.150768
2018年03月31日,0.155919
2018年03月30日,0.147209
2018年03月29日,0.146882
2018年03月28日,0.160058
2018年03月27日,0.154926
2018年03月26日,0.167806
2018年03月25日,0.184605
2018年03月24日,0.189201
2018年03月23日,0.189259
2018年03月22日,0.203481
2018年03月21日,0.213189
2018年03月20日,0.204947
2018年03月19日,0.197648
2018年03月18日,0.156155
2018年03月17日,0.154763
2018年03月16日,0.178878
2018年03月15日,0.185709
2018年03月14日,0.199562
2018年03月13日,0.223026
2018年03月12日,0.223722
2018年03月11日,0.223498
2018年03月10日,0.209873
2018年03月09日,0.222207
2018年03月08日,0.221743
2018年03月07日,0.247281
2018年03月06日,0.285357
2018年03月05日,0.297622
2018年03月04日,0.300787
2018年03月03日,0.297106
2018年03月02日,0.293504
2018年03月01日,0.304397
2018年02月28日,0.312581
2018年02月27日,0.335536
2018年02月26日,0.338335
2018年02月25日,0.344033
2018年02月24日,0.322966
2018年02月23日,0.345258
2018年02月22日,0.337871
2018年02月21日,0.364441
2018年02月20日,0.378779
2018年02月19日,0.391472
2018年02月18日,0.385618
2018年02月17日,0.419883
2018年02月16日,0.403810
2018年02月15日,0.409368
2018年02月14日,0.396908
2018年02月13日,0.373314
2018年02月12日,0.384315
2018年02月11日,0.369769
2018年02月10日,0.405872
2018年02月09日,0.391602
2018年02月08日,0.356584
2018年02月07日,0.340447
2018年02月06日,0.369753
2018年02月05日,0.327371
2018年02月04日,0.379303
2018年02月03日,0.438836
2018年02月02日,0.390534
2018年02月01日,0.421672
2018年01月31日,0.519315
2018年01月30日,0.531913
2018年01月29日,0.623204
2018年01月28日,0.670286
2018年01月27日,0.616833
2018年01月26日,0.623382
2018年01月25日,0.637495
2018年01月24日,0.622208
2018年01月23日,0.563070
2018年01月22日,0.570458
2018年01月21日,0.613163
2018年01月20日,0.707510
2018年01月19日,0.650498
2018年01月18日,0.659843
2018年01月17日,0.629102
2018年01月16日,0.626493
2018年01月15日,0.778587
2018年01月14日,0.802262
2018年01月13日,0.884124
2018年01月12日,0.897508
2018年01月11日,0.688412
2018年01月10日,0.793121
2018年01月09日,0.814743
2018年01月08日,0.899002
2018年01月07日,1.01
2018年01月06日,1.03
2018年01月05日,0.999559
2018年01月04日,1.11
2018年01月03日,1.08
2018年01月02日,0.782587
2018年01月01日,0.728657
2017年12月31日,0.719695
2017年12月30日,0.639243
2017年12月29日,0.529299
2017年12月28日,0.407701
2017年12月27日,0.414176
2017年12月26日,0.428465
2017年12月25日,0.416363
2017年12月24日,0.390029
2017年12月23日,0.414027
2017年12月22日,0.407150
2017年12月21日,0.477851
2017年12月20日,0.486151
2017年12月19日,0.531273
2017年12月18日,0.518198
2017年12月17日,0.513011
2017年12月16日,0.404665
2017年12月15日,0.213467
2017年12月14日,0.240753
2017年12月13日,0.134281
2017年12月12日,0.133891
2017年12月11日,0.121383
2017年12月10日,0.110281
2017年12月09日,0.119609
2017年12月08日,0.115465
2017年12月07日,0.105501
2017年12月06日,0.117839
2017年12月05日,0.127488
2017年12月04日,0.135870
2017年12月03日,0.131807
2017年12月02日,0.132351
2017年12月01日,0.131352
2017年11月30日,0.119883
2017年11月29日,0.089718
2017年11月28日,0.119744
2017年11月27日,0.050593
2017年11月26日,0.036332
2017年11月25日,0.030447
2017年11月24日,0.028382
2017年11月23日,0.027444
2017年11月22日,0.028549
2017年11月21日,0.028331
2017年11月20日,0.029581
2017年11月19日,0.028084
2017年11月18日,0.026369
2017年11月17日,0.025773
2017年11月16日,0.027580
2017年11月15日,0.026445
2017年11月14日,0.026230
2017年11月13日,0.025808
2017年11月12日,0.023977
2017年11月11日,0.027437
2017年11月10日,0.027119
2017年11月09日,0.032053
2017年11月08日,0.025186
2017年11月07日,0.022195
2017年11月06日,0.021881
2017年11月05日,0.020635
2017年11月04日,0.022022
2017年11月03日,0.022628
2017年11月02日,0.021306
2017年11月01日,0.022986
2017年10月31日,0.030437
2017年10月30日,0.028583
2017年10月29日,0.028607
2017年10月28日,0.025866
2017年10月27日,0.026382
2017年10月26日,0.027132
2017年10月25日,0.027527
2017年10月24日,0.027193
2017年10月23日,0.025454
2017年10月22日,0.027729
2017年10月21日,0.028436
2017年10月20日,0.030630
2017年10月19日,0.027032
2017年10月18日,0.026691
2017年10月17日,0.027217
2017年10月16日,0.028948
2017年10月15日,0.030049
2017年10月14日,0.032465
2017年10月13日,0.033641
2017年10月12日,0.026252
2017年10月11日,0.022520
2017年10月10日,0.021531
2017年10月09日,0.022114
2017年10月08日,0.020477
2017年10月07日,0.020941
2017年10月06日,0.018539
2017年10月05日,0.021489
2017年10月04日,0.021931
2017年10月03日,0.020816
2017年10月02日,0.025932
2017年10月01日,0.024969
