date,price
2018年05月13日,14.94
2018年05月12日,14.25
2018年05月11日,14.90
2018年05月10日,17.54
2018年05月09日,17.94
2018年05月08日,18.14
2018年05月07日,17.98
2018年05月06日,17.47
2018年05月05日,17.80
2018年05月04日,17.15
2018年05月03日,17.77
2018年05月02日,19.21
2018年05月01日,18.95
2018年04月30日,17.58
2018年04月29日,21.54
2018年04月28日,18.87
2018年04月27日,16.67
2018年04月26日,15.49
2018年04月25日,14.46
2018年04月24日,15.31
2018年04月23日,11.61
2018年04月22日,11.35
2018年04月21日,11.11
2018年04月20日,11.45
2018年04月19日,9.44
2018年04月18日,9.03
2018年04月17日,8.51
2018年04月16日,8.10
2018年04月15日,8.40
2018年04月14日,8.60
2018年04月13日,8.74
2018年04月12日,8.70
2018年04月11日,8.49
2018年04月10日,6.00
2018年04月09日,5.87
2018年04月08日,5.97
2018年04月07日,5.91
2018年04月06日,5.89
2018年04月05日,6.40
2018年04月04日,5.73
2018年04月03日,6.13
2018年04月02日,5.89
2018年04月01日,5.66
2018年03月31日,5.99
2018年03月30日,6.10
2018年03月29日,6.02
2018年03月28日,6.29
2018年03月27日,5.91
2018年03月26日,5.90
2018年03月25日,6.52
2018年03月24日,6.63
2018年03月23日,7.01
2018年03月22日,7.03
2018年03月21日,7.03
2018年03月20日,6.01
2018年03月19日,6.36
2018年03月18日,4.65
2018年03月17日,4.67
2018年03月16日,5.09
2018年03月15日,5.17
2018年03月14日,5.34
2018年03月13日,5.86
2018年03月12日,5.83
2018年03月11日,6.14
2018年03月10日,5.80
2018年03月09日,6.13
2018年03月08日,6.20
2018年03月07日,6.51
2018年03月06日,7.25
2018年03月05日,8.05
2018年03月04日,8.18
2018年03月03日,8.00
2018年03月02日,8.09
2018年03月01日,8.63
2018年02月28日,8.41
2018年02月27日,8.57
2018年02月26日,8.13
2018年02月25日,7.90
2018年02月24日,8.19
2018年02月23日,8.58
2018年02月22日,8.09
2018年02月21日,8.76
2018年02月20日,9.28
2018年02月19日,9.68
2018年02月18日,9.38
2018年02月17日,10.15
2018年02月16日,10.02
2018年02月15日,10.17
2018年02月14日,9.97
2018年02月13日,9.21
2018年02月12日,9.18
2018年02月11日,8.41
2018年02月10日,9.10
2018年02月09日,9.65
2018年02月08日,8.51
2018年02月07日,7.61
2018年02月06日,8.34
2018年02月05日,7.06
2018年02月04日,8.61
2018年02月03日,9.84
2018年02月02日,9.79
2018年02月01日,10.21
2018年01月31日,12.20
2018年01月30日,11.56
2018年01月29日,14.01
2018年01月28日,15.02
2018年01月27日,14.27
2018年01月26日,14.34
2018年01月25日,14.31
2018年01月24日,13.83
2018年01月23日,12.97
2018年01月22日,13.66
2018年01月21日,13.44
2018年01月20日,15.52
2018年01月19日,11.18
2018年01月18日,10.51
2018年01月17日,10.19
2018年01月16日,10.28
2018年01月15日,12.94
2018年01月14日,13.44
2018年01月13日,16.23
2018年01月12日,13.75
2018年01月11日,11.35
2018年01月10日,11.34
2018年01月09日,9.33
