date,price
2018年05月13日,733.50
2018年05月12日,686.05
2018年05月11日,679.59
2018年05月10日,727.28
2018年05月09日,752.27
2018年05月08日,752.86
2018年05月07日,753.73
2018年05月06日,792.31
2018年05月05日,816.12
2018年05月04日,785.62
2018年05月03日,779.54
2018年05月02日,687.15
2018年05月01日,673.61
2018年04月30日,669.92
2018年04月29日,688.88
2018年04月28日,683.68
2018年04月27日,647.03
2018年04月26日,662.81
2018年04月25日,615.42
2018年04月24日,708.16
2018年04月23日,642.55
2018年04月22日,621.86
2018年04月21日,605.39
2018年04月20日,615.72
2018年04月19日,567.89
2018年04月18日,524.79
2018年04月17日,502.89
2018年04月16日,511.15
2018年04月15日,531.70
2018年04月14日,501.48
2018年04月13日,492.74
2018年04月12日,492.94
2018年04月11日,430.54
2018年04月10日,414.24
2018年04月09日,398.53
2018年04月08日,400.51
2018年04月07日,385.31
2018年04月06日,370.29
2018年04月05日,383.23
2018年04月04日,380.54
2018年04月03日,416.89
2018年04月02日,386.43
2018年04月01日,379.61
2018年03月31日,396.46
2018年03月30日,394.64
2018年03月29日,385.97
2018年03月28日,446.28
2018年03月27日,450.12
2018年03月26日,489.95
2018年03月25日,524.29
2018年03月24日,526.44
2018年03月23日,539.62
2018年03月22日,539.70
2018年03月21日,561.73
2018年03月20日,557.17
2018年03月19日,556.73
2018年03月18日,538.64
2018年03月17日,552.78
2018年03月16日,601.67
2018年03月15日,611.30
2018年03月14日,614.29
2018年03月13日,690.83
2018年03月12日,699.83
2018年03月11日,723.34
2018年03月10日,686.89
2018年03月09日,728.92
2018年03月08日,704.60
2018年03月07日,752.83
2018年03月06日,816.95
2018年03月05日,853.68
2018年03月04日,866.68
2018年03月03日,857.23
2018年03月02日,856.85
2018年03月01日,872.20
2018年02月28日,855.20
2018年02月27日,878.26
2018年02月26日,869.32
2018年02月25日,844.81
2018年02月24日,840.51
2018年02月23日,864.19
2018年02月22日,812.85
2018年02月21日,849.97
2018年02月20日,895.37
2018年02月19日,943.87
2018年02月18日,923.92
2018年02月17日,974.12
2018年02月16日,944.21
2018年02月15日,936.98
2018年02月14日,923.56
2018年02月13日,845.26
2018年02月12日,868.71
2018年02月11日,814.66
2018年02月10日,860.41
2018年02月09日,883.87
2018年02月08日,817.81
2018年02月07日,757.07
2018年02月06日,793.12
2018年02月05日,697.95
2018年02月04日,834.68
2018年02月03日,964.02
2018年02月02日,915.78
2018年02月01日,1036.79
2018年01月31日,1118.31
2018年01月30日,1071.13
2018年01月29日,1182.36
2018年01月28日,1246.01
2018年01月27日,1107.07
2018年01月26日,1055.17
2018年01月25日,1056.03
2018年01月24日,1058.78
2018年01月23日,986.23
2018年01月22日,1003.26
2018年01月21日,1049.58
2018年01月20日,1155.15
2018年01月19日,1039.10
2018年01月18日,1036.28
2018年01月17日,1014.25
2018年01月16日,1053.69
2018年01月15日,1291.92
2018年01月14日,1366.77
2018年01月13日,1396.42
2018年01月12日,1273.20
2018年01月11日,1154.93
2018年01月10日,1255.82
2018年01月09日,1299.74
2018年01月08日,1148.53
2018年01月07日,1153.17
2018年01月06日,1041.68
2018年01月05日,997.72
2018年01月04日,980.92
2018年01月03日,962.72
2018年01月02日,884.44
2018年01月01日,772.64
2017年12月31日,756.73
2017年12月30日,717.26
2017年12月29日,753.59
2017年12月28日,737.02
2017年12月27日,762.84
2017年12月26日,773.84
2017年12月25日,765.83
2017年12月24日,694.15
2017年12月23日,719.39
2017年12月22日,674.86
2017年12月21日,821.06
2017年12月20日,819.09
2017年12月19日,826.82
2017年12月18日,794.64
2017年12月17日,719.98
2017年12月16日,696.21
2017年12月15日,684.45
2017年12月14日,695.82
2017年12月13日,702.77
2017年12月12日,651.43
2017年12月11日,515.14
2017年12月10日,441.72
2017年12月09日,473.50
2017年12月08日,456.03
2017年12月07日,434.41
2017年12月06日,428.59
2017年12月05日,463.28
2017年12月04日,470.20
2017年12月03日,465.85
2017年12月02日,463.45
2017年12月01日,466.54
2017年11月30日,447.11
2017年11月29日,427.52
2017年11月28日,472.90
2017年11月27日,480.36
2017年11月26日,471.33
2017年11月25日,466.28
2017年11月24日,474.91
2017年11月23日,410.17
2017年11月22日,380.65
2017年11月21日,360.40
2017年11月20日,366.73
2017年11月19日,354.39
2017年11月18日,347.61
2017年11月17日,332.39
2017年11月16日,330.92
2017年11月15日,333.36
2017年11月14日,337.63
2017年11月13日,316.72
2017年11月12日,307.91
2017年11月11日,314.68
2017年11月10日,299.25
2017年11月09日,320.88
2017年11月08日,309.07
2017年11月07日,294.66
2017年11月06日,298.89
2017年11月05日,296.26
2017年11月04日,300.47
2017年11月03日,305.71
2017年11月02日,287.43
2017年11月01日,291.69
2017年10月31日,305.88
2017年10月30日,307.75
2017年10月29日,305.09
2017年10月28日,296.30
2017年10月27日,297.42
2017年10月26日,296.53
