date,price
2018年05月13日,144.59
2018年05月12日,141.88
2018年05月11日,137.12
2018年05月10日,149.87
2018年05月09日,157.06
2018年05月08日,159.62
2018年05月07日,164.88
2018年05月06日,171.80
2018年05月05日,177.76
2018年05月04日,168.79
2018年05月03日,161.46
2018年05月02日,151.58
2018年05月01日,148.49
2018年04月30日,148.48
2018年04月29日,153.63
2018年04月28日,152.30
2018年04月27日,145.91
2018年04月26日,153.68
2018年04月25日,144.76
2018年04月24日,165.78
2018年04月23日,152.25
2018年04月22日,146.77
2018年04月21日,148.93
2018年04月20日,155.54
2018年04月19日,146.30
2018年04月18日,140.00
2018年04月17日,132.93
2018年04月16日,128.34
2018年04月15日,132.04
2018年04月14日,126.29
2018年04月13日,125.35
2018年04月12日,129.34
2018年04月11日,118.29
2018年04月10日,114.26
2018年04月09日,114.99
2018年04月08日,117.67
2018年04月07日,116.26
2018年04月06日,113.16
2018年04月05日,119.13
2018年04月04日,118.41
2018年04月03日,134.47
2018年04月02日,119.31
2018年04月01日,115.22
2018年03月31日,116.61
2018年03月30日,118.60
2018年03月29日,114.68
2018年03月28日,131.75
2018年03月27日,135.78
2018年03月26日,149.22
2018年03月25日,160.08
2018年03月24日,159.63
2018年03月23日,167.83
2018年03月22日,163.67
2018年03月21日,169.05
2018年03月20日,168.82
2018年03月19日,161.14
2018年03月18日,154.07
2018年03月17日,152.97
2018年03月16日,165.45
2018年03月15日,164.48
2018年03月14日,161.10
2018年03月13日,175.78
2018年03月12日,178.23
2018年03月11日,188.95
2018年03月10日,177.73
2018年03月09日,187.17
2018年03月08日,176.51
2018年03月07日,185.84
2018年03月06日,196.60
2018年03月05日,211.18
2018年03月04日,213.80
2018年03月03日,210.64
2018年03月02日,212.56
2018年03月01日,209.75
2018年02月28日,202.90
2018年02月27日,216.60
2018年02月26日,220.96
2018年02月25日,220.47
2018年02月24日,209.42
2018年02月23日,209.31
2018年02月22日,195.31
2018年02月21日,213.35
2018年02月20日,232.85
2018年02月19日,223.06
2018年02月18日,215.74
2018年02月17日,229.47
2018年02月16日,230.12
2018年02月15日,225.43
2018年02月14日,213.36
2018年02月13日,159.55
2018年02月12日,161.57
2018年02月11日,148.99
2018年02月10日,155.59
2018年02月09日,163.95
2018年02月08日,149.47
2018年02月07日,138.20
2018年02月06日,142.99
2018年02月05日,125.33
2018年02月04日,148.03
2018年02月03日,160.25
