date,price
2018年05月13日,0.745748
2018年05月12日,0.696735
2018年05月11日,0.684948
2018年05月10日,0.758237
2018年05月09日,0.802043
2018年05月08日,0.813970
2018年05月07日,0.832641
2018年05月06日,0.871424
2018年05月05日,0.905103
2018年05月04日,0.895442
2018年05月03日,0.884466
2018年05月02日,0.859094
2018年05月01日,0.841407
2018年04月30日,0.837938
2018年04月29日,0.872778
2018年04月28日,0.863804
2018年04月27日,0.813885
2018年04月26日,0.852414
2018年04月25日,0.800607
2018年04月24日,0.934781
2018年04月23日,0.876657
2018年04月22日,0.869995
2018年04月21日,0.873103
2018年04月20日,0.924465
2018年04月19日,0.791976
2018年04月18日,0.708932
2018年04月17日,0.656933
2018年04月16日,0.663297
2018年04月15日,0.682534
2018年04月14日,0.632184
2018年04月13日,0.638087
2018年04月12日,0.628737
2018年04月11日,0.539506
2018年04月10日,0.491931
2018年04月09日,0.491855
2018年04月08日,0.500398
2018年04月07日,0.487867
2018年04月06日,0.476431
2018年04月05日,0.495801
2018年04月04日,0.501631
2018年04月03日,0.558044
2018年04月02日,0.500688
2018年04月01日,0.485081
2018年03月31日,0.512353
2018年03月30日,0.509565
2018年03月29日,0.511511
2018年03月28日,0.578002
2018年03月27日,0.577917
2018年03月26日,0.599463
2018年03月25日,0.641875
2018年03月24日,0.641265
2018年03月23日,0.643174
2018年03月22日,0.662743
2018年03月21日,0.693664
2018年03月20日,0.709808
2018年03月19日,0.749080
2018年03月18日,0.658777
2018年03月17日,0.637856
2018年03月16日,0.689260
2018年03月15日,0.697269
2018年03月14日,0.701902
2018年03月13日,0.789711
2018年03月12日,0.801048
2018年03月11日,0.831122
2018年03月10日,0.796627
2018年03月09日,0.849761
2018年03月08日,0.825857
2018年03月07日,0.871210
2018年03月06日,0.922887
2018年03月05日,0.959368
2018年03月04日,1.01
2018年03月03日,0.907804
2018年03月02日,0.910144
2018年03月01日,0.928347
2018年02月28日,0.904583
2018年02月27日,0.947305
2018年02月26日,0.956859
2018年02月25日,0.943487
2018年02月24日,0.954402
2018年02月23日,0.998855
2018年02月22日,0.941788
2018年02月21日,1.02
2018年02月20日,1.09
2018年02月19日,1.14
2018年02月18日,1.12
2018年02月17日,1.20
2018年02月16日,1.14
2018年02月15日,1.15
2018年02月14日,1.14
2018年02月13日,1.03
