date,price
2018年05月13日,0.375852
2018年05月12日,0.359937
2018年05月11日,0.314252
2018年05月10日,0.353962
2018年05月09日,0.377970
2018年05月08日,0.386371
2018年05月07日,0.395702
2018年05月06日,0.412944
2018年05月05日,0.430875
2018年05月04日,0.431140
2018年05月03日,0.437379
2018年05月02日,0.439227
2018年05月01日,0.439733
2018年04月30日,0.424659
2018年04月29日,0.458405
2018年04月28日,0.428918
2018年04月27日,0.391085
2018年04月26日,0.387556
2018年04月25日,0.339517
2018年04月24日,0.400670
2018年04月23日,0.372128
2018年04月22日,0.368139
2018年04月21日,0.375663
2018年04月20日,0.391165
2018年04月19日,0.366120
2018年04月18日,0.351544
2018年04月17日,0.300202
2018年04月16日,0.284156
2018年04月15日,0.290722
2018年04月14日,0.250668
2018年04月13日,0.246290
2018年04月12日,0.242120
2018年04月11日,0.212337
2018年04月10日,0.199344
2018年04月09日,0.197333
2018年04月08日,0.206377
2018年04月07日,0.201859
2018年04月06日,0.193317
2018年04月05日,0.197940
2018年04月04日,0.204108
2018年04月03日,0.235691
2018年04月02日,0.224878
2018年04月01日,0.206582
2018年03月31日,0.206778
2018年03月30日,0.188733
2018年03月29日,0.190819
2018年03月28日,0.219251
2018年03月27日,0.216033
2018年03月26日,0.228861
2018年03月25日,0.239952
2018年03月24日,0.235422
2018年03月23日,0.236147
2018年03月22日,0.243212
2018年03月21日,0.254636
2018年03月20日,0.267968
2018年03月19日,0.250226
2018年03月18日,0.220473
2018年03月17日,0.206731
2018年03月16日,0.229991
2018年03月15日,0.240655
2018年03月14日,0.248689
2018年03月13日,0.290193
2018年03月12日,0.291765
2018年03月11日,0.304217
2018年03月10日,0.292661
2018年03月09日,0.311859
2018年03月08日,0.311938
2018年03月07日,0.329103
2018年03月06日,0.337911
2018年03月05日,0.352031
2018年03月04日,0.361930
2018年03月03日,0.350168
2018年03月02日,0.320107
2018年03月01日,0.339314
2018年02月28日,0.333916
2018年02月27日,0.362051
2018年02月26日,0.364579
2018年02月25日,0.357302
2018年02月24日,0.355163
2018年02月23日,0.381985
2018年02月22日,0.366447
2018年02月21日,0.396765
2018年02月20日,0.402289
2018年02月19日,0.452932
2018年02月18日,0.450399
2018年02月17日,0.479075
2018年02月16日,0.455446
2018年02月15日,0.453556
2018年02月14日,0.453888
2018年02月13日,0.410614
2018年02月12日,0.395649
2018年02月11日,0.370005
2018年02月10日,0.406856
2018年02月09日,0.401068
2018年02月08日,0.363565
2018年02月07日,0.342125
2018年02月06日,0.370811
2018年02月05日,0.331192
2018年02月04日,0.377231
2018年02月03日,0.430056
2018年02月02日,0.405075
2018年02月01日,0.456455
2018年01月31日,0.539797
2018年01月30日,0.489648
2018年01月29日,0.589283
2018年01月28日,0.634421
2018年01月27日,0.613061
2018年01月26日,0.633916
2018年01月25日,0.608253
2018年01月24日,0.567014
2018年01月23日,0.486185
2018年01月22日,0.486338
2018年01月21日,0.464117
2018年01月20日,0.534677
2018年01月19日,0.506232
2018年01月18日,0.509523
2018年01月17日,0.477187
2018年01月16日,0.441197
2018年01月15日,0.599271
2018年01月14日,0.630856
2018年01月13日,0.671564
2018年01月12日,0.677960
2018年01月11日,0.558126
2018年01月10日,0.566930
2018年01月09日,0.585653
2018年01月08日,0.629323
2018年01月07日,0.699645
2018年01月06日,0.709945
2018年01月05日,0.662712
2018年01月04日,0.724050
2018年01月03日,0.896227
2018年01月02日,0.564766
2018年01月01日,0.480008
2017年12月31日,0.360756
2017年12月30日,0.323202
2017年12月29日,0.322941
2017年12月28日,0.223544
2017年12月27日,0.229224
2017年12月26日,0.226018
2017年12月25日,0.228511
2017年12月24日,0.224450
2017年12月23日,0.234179
2017年12月22日,0.216717
2017年12月21日,0.257200
2017年12月20日,0.252386
2017年12月19日,0.264310
2017年12月18日,0.276283
2017年12月17日,0.266621
2017年12月16日,0.232125
2017年12月15日,0.195862
2017年12月14日,0.188907
2017年12月13日,0.149342
2017年12月12日,0.156444
2017年12月11日,0.144956
2017年12月10日,0.119263
2017年12月09日,0.135122
2017年12月08日,0.137260
2017年12月07日,0.133046
2017年12月06日,0.151622
2017年12月05日,0.123523
2017年12月04日,0.097610
2017年12月03日,0.089035
2017年12月02日,0.093816
2017年12月01日,0.089883
2017年11月30日,0.072871
2017年11月29日,0.064424
2017年11月28日,0.081415
2017年11月27日,0.059843
2017年11月26日,0.048896
2017年11月25日,0.043639
2017年11月24日,0.040193
2017年11月23日,0.040535
2017年11月22日,0.042299
2017年11月21日,0.037668
2017年11月20日,0.038121
2017年11月19日,0.036566
2017年11月18日,0.036583
2017年11月17日,0.035572
2017年11月16日,0.037234
2017年11月15日,0.037053
2017年11月14日,0.036374
2017年11月13日,0.030656
