date,price
2018年05月13日,0.075613
2018年05月12日,0.068731
2018年05月11日,0.065933
2018年05月10日,0.073574
2018年05月09日,0.081006
2018年05月08日,0.083071
2018年05月07日,0.083086
2018年05月06日,0.084778
2018年05月05日,0.087102
2018年05月04日,0.086810
2018年05月03日,0.087340
2018年05月02日,0.091397
2018年05月01日,0.093360
2018年04月30日,0.093777
2018年04月29日,0.089145
2018年04月28日,0.081662
2018年04月27日,0.074037
2018年04月26日,0.074566
2018年04月25日,0.070015
2018年04月24日,0.073360
2018年04月23日,0.058546
2018年04月22日,0.052420
2018年04月21日,0.053677
2018年04月20日,0.053673
2018年04月19日,0.049392
2018年04月18日,0.047521
2018年04月17日,0.042116
2018年04月16日,0.041256
2018年04月15日,0.042971
2018年04月14日,0.040011
2018年04月13日,0.039006
2018年04月12日,0.039564
2018年04月11日,0.036271
2018年04月10日,0.036928
2018年04月09日,0.035756
2018年04月08日,0.037632
2018年04月07日,0.037064
2018年04月06日,0.036918
2018年04月05日,0.040014
2018年04月04日,0.030136
2018年04月03日,0.034801
2018年04月02日,0.035755
2018年04月01日,0.032152
2018年03月31日,0.033972
2018年03月30日,0.041277
2018年03月29日,0.043002
2018年03月28日,0.048817
2018年03月27日,0.043075
2018年03月26日,0.044378
2018年03月25日,0.045311
2018年03月24日,0.049780
2018年03月23日,0.041137
2018年03月22日,0.037924
2018年03月21日,0.037107
2018年03月20日,0.038113
2018年03月19日,0.032364
2018年03月18日,0.028621
2018年03月17日,0.028358
2018年03月16日,0.030119
2018年03月15日,0.030119
2018年03月14日,0.031057
2018年03月13日,0.035726
2018年03月12日,0.036132
2018年03月11日,0.038716
2018年03月10日,0.034928
2018年03月09日,0.036981
2018年03月08日,0.036425
2018年03月07日,0.038601
2018年03月06日,0.043958
2018年03月05日,0.046776
2018年03月04日,0.047801
2018年03月03日,0.048918
2018年03月02日,0.052947
2018年03月01日,0.048847
2018年02月28日,0.043351
2018年02月27日,0.042731
2018年02月26日,0.041769
2018年02月25日,0.039883
2018年02月24日,0.040929
2018年02月23日,0.042875
2018年02月22日,0.040674
2018年02月21日,0.044580
2018年02月20日,0.046861
2018年02月19日,0.051542
2018年02月18日,0.049606
2018年02月17日,0.054914
2018年02月16日,0.052449
2018年02月15日,0.046496
2018年02月14日,0.045936
2018年02月13日,0.043356
2018年02月12日,0.046116
2018年02月11日,0.042401
2018年02月10日,0.048699
2018年02月09日,0.047968
2018年02月08日,0.036725
2018年02月07日,0.032746
2018年02月06日,0.036478
2018年02月05日,0.030161
2018年02月04日,0.037933
