date,price
2018年05月14日,12.87
2018年05月13日,13.12
2018年05月12日,12.94
2018年05月11日,12.99
2018年05月10日,13.82
2018年05月09日,14.66
2018年05月08日,13.53
2018年05月07日,13.70
2018年05月06日,13.94
2018年05月05日,14.37
2018年05月04日,14.33
2018年05月03日,14.65
2018年05月02日,14.41
2018年05月01日,14.16
2018年04月30日,14.31
2018年04月29日,15.06
2018年04月28日,15.20
2018年04月27日,14.33
2018年04月26日,14.65
2018年04月25日,13.29
2018年04月24日,15.27
2018年04月23日,13.63
2018年04月22日,12.88
2018年04月21日,13.38
2018年04月20日,12.58
2018年04月19日,12.35
2018年04月18日,12.28
2018年04月17日,11.77
2018年04月16日,12.21
2018年04月15日,13.06
2018年04月14日,13.24
2018年04月13日,13.54
2018年04月12日,12.95
2018年04月11日,12.23
2018年04月10日,12.04
2018年04月09日,11.87
2018年04月08日,12.12
2018年04月07日,12.46
2018年04月06日,12.26
2018年04月05日,12.45
2018年04月04日,12.19
2018年04月03日,13.36
2018年04月02日,12.62
2018年04月01日,11.07
2018年03月31日,11.06
2018年03月30日,10.35
2018年03月29日,10.20
2018年03月28日,11.64
2018年03月27日,11.51
2018年03月26日,12.06
2018年03月25日,12.78
2018年03月24日,13.09
2018年03月23日,11.74
2018年03月22日,10.07
2018年03月21日,9.98
2018年03月20日,9.16
2018年03月19日,8.99
2018年03月18日,8.95
2018年03月17日,8.99
2018年03月16日,9.11
2018年03月15日,9.10
2018年03月14日,8.96
2018年03月13日,10.12
2018年03月12日,8.04
2018年03月11日,8.27
2018年03月10日,7.67
2018年03月09日,8.31
2018年03月08日,8.31
2018年03月07日,9.03
2018年03月06日,9.38
2018年03月05日,10.11
2018年03月04日,10.35
2018年03月03日,10.22
2018年03月02日,10.22
2018年03月01日,10.51
2018年02月28日,10.44
2018年02月27日,10.66
2018年02月26日,9.90
2018年02月25日,9.35
2018年02月24日,9.14
2018年02月23日,9.69
2018年02月22日,8.90
2018年02月21日,9.38
2018年02月20日,9.90
2018年02月19日,11.08
2018年02月18日,10.70
2018年02月17日,11.69
2018年02月16日,11.20
2018年02月15日,10.93
2018年02月14日,10.40
2018年02月13日,8.99
2018年02月12日,9.32
2018年02月11日,8.70
2018年02月10日,9.26
2018年02月09日,9.73
2018年02月08日,8.60
2018年02月07日,8.10
2018年02月06日,8.29
2018年02月05日,6.71
2018年02月04日,8.46
2018年02月03日,9.75
2018年02月02日,9.65
2018年02月01日,9.52
2018年01月31日,11.14
2018年01月30日,11.25
2018年01月29日,12.76
2018年01月28日,13.54
2018年01月27日,13.25
2018年01月26日,13.22
2018年01月25日,13.23
2018年01月24日,13.63
2018年01月23日,13.09
