date,price
2018年05月14日,432.71
2018年05月13日,416.84
2018年05月12日,404.53
2018年05月11日,394.21
2018年05月10日,421.34
2018年05月09日,443.16
2018年05月08日,443.78
2018年05月07日,457.99
2018年05月06日,485.22
2018年05月05日,505.71
2018年05月04日,486.32
2018年05月03日,503.32
2018年05月02日,481.49
2018年05月01日,478.90
2018年04月30日,472.77
2018年04月29日,498.69
2018年04月28日,494.11
2018年04月27日,472.06
2018年04月26日,503.86
2018年04月25日,461.01
2018年04月24日,530.13
2018年04月23日,503.39
2018年04月22日,467.71
2018年04月21日,444.50
2018年04月20日,460.41
2018年04月19日,431.33
2018年04月18日,421.18
2018年04月17日,363.85
2018年04月16日,363.57
2018年04月15日,381.70
2018年04月14日,356.14
2018年04月13日,353.07
2018年04月12日,353.80
2018年04月11日,309.42
2018年04月10日,298.81
2018年04月09日,298.40
2018年04月08日,310.85
2018年04月07日,297.80
2018年04月06日,285.45
2018年04月05日,301.65
2018年04月04日,299.85
2018年04月03日,339.85
2018年04月02日,311.81
2018年04月01日,291.53
2018年03月31日,305.76
2018年03月30日,311.12
2018年03月29日,329.28
2018年03月28日,351.26
2018年03月27日,354.75
2018年03月26日,390.87
2018年03月25日,411.79
2018年03月24日,424.61
2018年03月23日,427.46
2018年03月22日,411.36
2018年03月21日,434.51
2018年03月20日,428.88
2018年03月19日,409.32
2018年03月18日,394.15
2018年03月17日,387.28
2018年03月16日,425.52
2018年03月15日,418.24
2018年03月14日,426.25
2018年03月13日,487.37
2018年03月12日,501.30
2018年03月11日,531.80
2018年03月10日,484.35
2018年03月09日,499.50
2018年03月08日,493.82
2018年03月07日,513.74
2018年03月06日,578.51
2018年03月05日,614.58
2018年03月04日,620.49
2018年03月03日,610.52
2018年03月02日,603.63
2018年03月01日,617.53
2018年02月28日,584.29
2018年02月27日,615.85
2018年02月26日,621.27
2018年02月25日,591.69
2018年02月24日,595.01
2018年02月23日,631.66
2018年02月22日,632.96
2018年02月21日,670.38
2018年02月20日,685.04
2018年02月19日,728.73
2018年02月18日,689.28
2018年02月17日,742.16
2018年02月16日,698.86
2018年02月15日,703.86
2018年02月14日,678.98
2018年02月13日,595.47
2018年02月12日,620.56
2018年02月11日,580.02
2018年02月10日,634.10
2018年02月09日,637.82
2018年02月08日,605.00
2018年02月07日,521.99
2018年02月06日,528.50
2018年02月05日,451.43
2018年02月04日,549.96
2018年02月03日,637.37
2018年02月02日,586.88
2018年02月01日,617.04
2018年01月31日,697.46
2018年01月30日,676.91
2018年01月29日,767.69
2018年01月28日,812.24
2018年01月27日,773.84
2018年01月26日,782.41
2018年01月25日,795.65
2018年01月24日,775.11
2018年01月23日,757.34
2018年01月22日,763.20
2018年01月21日,818.27
2018年01月20日,926.12
2018年01月19日,846.16
2018年01月18日,835.49
2018年01月17日,793.57
2018年01月16日,759.62
2018年01月15日,939.19
2018年01月14日,1014.07
2018年01月13日,1100.26
2018年01月12日,1054.87
2018年01月11日,1007.88
2018年01月10日,1106.36
2018年01月09日,1111.86
2018年01月08日,1087.75
2018年01月07日,1285.43
2018年01月06日,1265.03
2018年01月05日,1152.41
2018年01月04日,1229.79
2018年01月03日,1170.74
2018年01月02日,1217.72
2018年01月01日,1053.98
2017年12月31日,1051.68
2017年12月30日,1011.47
2017年12月29日,1147.95
2017年12月28日,1160.57
2017年12月27日,1189.89
2017年12月26日,1222.83
2017年12月25日,1175.89
2017年12月24日,1184.69
2017年12月23日,1275.50
2017年12月22日,1179.01
2017年12月21日,1434.82
2017年12月20日,1550.85
2017年12月19日,1186.63
2017年12月18日,1167.12
2017年12月17日,1105.92
2017年12月16日,1001.51
2017年12月15日,900.52
2017年12月14日,941.11
2017年12月13日,886.88
2017年12月12日,932.03
2017年12月11日,765.40
2017年12月10日,688.67
2017年12月09日,723.61
2017年12月08日,726.67
2017年12月07日,697.90
2017年12月06日,700.07
2017年12月05日,756.36
2017年12月04日,774.01
2017年12月03日,768.88
2017年12月02日,778.43
2017年12月01日,797.53
2017年11月30日,786.93
2017年11月29日,677.39
2017年11月28日,626.42
2017年11月27日,632.30
2017年11月26日,621.62
2017年11月25日,643.57
2017年11月24日,566.63
2017年11月23日,566.68
2017年11月22日,578.85
2017年11月21日,494.21
2017年11月20日,486.54
2017年11月19日,442.31
2017年11月18日,454.74
2017年11月17日,424.98
2017年11月16日,418.18
2017年11月15日,424.41
2017年11月14日,427.54
2017年11月13日,427.37
2017年11月12日,536.12
2017年11月11日,346.06
2017年11月10日,329.57
2017年11月09日,326.01
2017年11月08日,316.33
2017年11月07日,293.38
2017年11月06日,275.68
2017年11月05日,273.17
2017年11月04日,274.68
2017年11月03日,278.59
2017年11月02日,265.31
2017年11月01日,271.56
2017年10月31日,279.15
2017年10月30日,285.94
2017年10月29日,283.93
2017年10月28日,275.69
2017年10月27日,280.48
2017年10月26日,286.13
2017年10月25日,289.14
2017年10月24日,293.20
2017年10月23日,284.23
2017年10月22日,275.70
2017年10月21日,277.86
2017年10月20日,289.19
2017年10月19日,295.47
2017年10月18日,297.26
2017年10月17日,299.88
2017年10月16日,302.21
2017年10月15日,309.51
2017年10月14日,316.69
2017年10月13日,310.38
2017年10月12日,291.91
2017年10月11日,298.40
2017年10月10日,291.27
2017年10月09日,283.67
2017年10月08日,302.48
2017年10月07日,310.49
2017年10月06日,306.88
2017年10月05日,305.40
2017年10月04日,305.46
2017年10月03日,296.24
2017年10月02日,308.69
2017年10月01日,315.80
2017年09月30日,327.14
2017年09月29日,327.70
2017年09月28日,338.25
2017年09月27日,346.43
2017年09月26日,339.10
2017年09月25日,345.09
2017年09月24日,331.85
2017年09月23日,350.79
2017年09月22日,346.58
2017年09月21日,330.05
2017年09月20日,342.43
2017年09月19日,324.26
2017年09月18日,333.00
2017年09月17日,313.84
2017年09月16日,298.86
2017年09月15日,284.36
2017年09月14日,236.24
2017年09月13日,301.29
2017年09月12日,325.97
2017年09月11日,318.40
2017年09月10日,320.11
2017年09月09日,323.14
2017年09月08日,333.21
2017年09月07日,343.91
2017年09月06日,347.17
2017年09月05日,327.23
2017年09月04日,316.13
2017年09月03日,356.39
2017年09月02日,350.17
2017年09月01日,393.35
2017年08月31日,378.32
2017年08月30日,368.34
2017年08月29日,359.55
2017年08月28日,356.78
2017年08月27日,362.89
2017年08月26日,399.85
2017年08月25日,315.89
2017年08月24日,315.37
2017年08月23日,292.57
2017年08月22日,291.50
2017年08月21日,279.58
2017年08月20日,294.20
2017年08月19日,288.70
2017年08月18日,224.28
2017年08月17日,233.62
2017年08月16日,232.02
2017年08月15日,203.52
2017年08月14日,199.44
2017年08月13日,198.17
2017年08月12日,205.49
2017年08月11日,205.79
2017年08月10日,200.96
2017年08月09日,199.21
2017年08月08日,203.84
2017年08月07日,197.19
2017年08月06日,189.13
2017年08月05日,193.83
2017年08月04日,186.97
2017年08月03日,186.99
2017年08月02日,182.93
2017年08月01日,184.75
2017年07月31日,178.51
2017年07月30日,172.82
2017年07月29日,185.25
2017年07月28日,185.61
2017年07月27日,194.09
2017年07月26日,194.37
2017年07月25日,195.52
2017年07月24日,204.02
2017年07月23日,191.03
2017年07月22日,195.31
2017年07月21日,185.86
2017年07月20日,188.59
2017年07月19日,155.65
2017年07月18日,158.07
2017年07月17日,153.85
2017年07月16日,132.64
2017年07月15日,140.14
2017年07月14日,161.08
2017年07月13日,171.24
2017年07月12日,179.89
2017年07月11日,165.73
2017年07月10日,174.40
2017年07月09日,195.64
2017年07月08日,209.20
2017年07月07日,196.46
2017年07月06日,213.17
2017年07月05日,209.48
2017年07月04日,183.06
2017年07月03日,180.79
2017年07月02日,173.49
2017年07月01日,165.71
2017年06月30日,181.77
2017年06月29日,177.17
2017年06月28日,184.13
2017年06月27日,176.02
2017年06月26日,162.89
2017年06月25日,172.88
2017年06月24日,182.62
2017年06月23日,189.26
2017年06月22日,177.06
2017年06月21日,178.81
2017年06月20日,187.91
2017年06月19日,201.26
2017年06月18日,193.53
2017年06月17日,178.13
2017年06月16日,166.25
2017年06月15日,163.35
2017年06月14日,163.21
2017年06月13日,183.97
2017年06月12日,170.78
2017年06月11日,188.27
2017年06月10日,152.00
2017年06月09日,148.93
2017年06月08日,145.03
2017年06月07日,140.36
2017年06月06日,145.19
2017年06月05日,144.92
2017年06月04日,143.35
2017年06月03日,144.29
2017年06月02日,145.29
2017年06月01日,136.08
2017年05月31日,135.97
2017年05月30日,121.13
2017年05月29日,117.26
2017年05月28日,108.14
2017年05月27日,99.20
2017年05月26日,112.94
2017年05月25日,119.63
2017年05月24日,144.63
2017年05月23日,138.07
2017年05月22日,120.73
2017年05月21日,102.03
2017年05月20日,100.77
2017年05月19日,98.98
2017年05月18日,89.73
2017年05月17日,83.26
2017年05月16日,85.59
2017年05月15日,91.49
2017年05月14日,89.80
2017年05月13日,89.35
2017年05月12日,86.80
2017年05月11日,91.54
2017年05月10日,91.52
2017年05月09日,93.30
2017年05月08日,101.10
2017年05月07日,106.28
2017年05月06日,99.76
2017年05月05日,99.01
2017年05月04日,92.80
2017年05月03日,90.08
2017年05月02日,86.24
2017年05月01日,88.12
2017年04月30日,91.55
2017年04月29日,94.95
2017年04月28日,79.49
2017年04月27日,78.17
2017年04月26日,71.53
2017年04月25日,72.07
2017年04月24日,72.20
2017年04月23日,68.89
2017年04月22日,71.22
2017年04月21日,70.88
2017年04月20日,71.45
2017年04月19日,72.28
2017年04月18日,72.83
2017年04月17日,75.64
2017年04月16日,75.34
2017年04月15日,75.01
2017年04月14日,70.77
2017年04月13日,72.57
2017年04月12日,68.00
2017年04月11日,60.53
2017年04月10日,61.31
2017年04月09日,64.70
2017年04月08日,67.75
2017年04月07日,66.19
2017年04月06日,66.53
2017年04月05日,74.37
2017年04月04日,69.07
2017年04月03日,61.76
2017年04月02日,57.07
2017年04月01日,68.60
2017年03月31日,74.91
2017年03月30日,79.61
2017年03月29日,84.40
2017年03月28日,87.89
2017年03月27日,85.66
2017年03月26日,93.63
2017年03月25日,94.33
2017年03月24日,97.27
2017年03月23日,101.43
2017年03月22日,101.51
2017年03月21日,95.38
2017年03月20日,100.05
2017年03月19日,108.23
2017年03月18日,109.24
2017年03月17日,99.14
2017年03月16日,89.81
2017年03月15日,95.09
2017年03月14日,88.24
2017年03月13日,74.61
2017年03月12日,77.08
2017年03月11日,72.93
2017年03月10日,50.42
2017年03月09日,51.06
2017年03月08日,42.33
2017年03月07日,45.68
2017年03月06日,46.50
2017年03月05日,42.31
2017年03月04日,43.38
2017年03月03日,47.38
