date,price
2018年05月14日,18.79
2018年05月13日,18.73
2018年05月12日,18.15
2018年05月11日,17.73
2018年05月10日,19.74
2018年05月09日,21.50
2018年05月08日,22.47
2018年05月07日,23.64
2018年05月06日,25.34
2018年05月05日,22.76
2018年05月04日,22.40
2018年05月03日,22.76
2018年05月02日,21.67
2018年05月01日,21.58
2018年04月30日,21.68
2018年04月29日,21.83
2018年04月28日,21.73
2018年04月27日,20.56
2018年04月26日,21.06
2018年04月25日,18.58
2018年04月24日,22.25
2018年04月23日,20.48
2018年04月22日,18.79
2018年04月21日,18.69
2018年04月20日,19.64
2018年04月19日,18.38
2018年04月18日,17.62
2018年04月17日,16.07
2018年04月16日,16.12
2018年04月15日,16.75
2018年04月14日,16.02
2018年04月13日,15.61
2018年04月12日,16.17
2018年04月11日,14.59
2018年04月10日,13.65
2018年04月09日,13.63
2018年04月08日,14.12
2018年04月07日,13.47
2018年04月06日,13.15
2018年04月05日,13.72
2018年04月04日,13.64
2018年04月03日,15.16
2018年04月02日,14.13
2018年04月01日,13.58
2018年03月31日,14.37
2018年03月30日,14.39
2018年03月29日,14.68
2018年03月28日,16.10
2018年03月27日,15.91
2018年03月26日,16.48
2018年03月25日,18.09
2018年03月24日,18.50
2018年03月23日,19.04
2018年03月22日,19.67
2018年03月21日,19.80
2018年03月20日,20.21
2018年03月19日,19.65
2018年03月18日,16.79
2018年03月17日,16.32
2018年03月16日,17.78
2018年03月15日,18.41
2018年03月14日,17.15
2018年03月13日,19.92
2018年03月12日,20.50
2018年03月11日,21.58
2018年03月10日,20.91
2018年03月09日,22.48
2018年03月08日,22.67
2018年03月07日,22.12
2018年03月06日,25.10
2018年03月05日,26.84
2018年03月04日,29.69
2018年03月03日,29.19
2018年03月02日,30.77
2018年03月01日,33.76
2018年02月28日,33.69
2018年02月27日,36.25
2018年02月26日,36.08
2018年02月25日,36.41
2018年02月24日,38.84
2018年02月23日,38.04
2018年02月22日,32.81
2018年02月21日,36.63
2018年02月20日,38.47
2018年02月19日,39.29
2018年02月18日,34.88
2018年02月17日,34.99
2018年02月16日,35.03
2018年02月15日,34.53
2018年02月14日,35.04
2018年02月13日,33.96
2018年02月12日,29.88
2018年02月11日,24.13
2018年02月10日,24.52
2018年02月09日,26.00
2018年02月08日,21.79
2018年02月07日,18.16
2018年02月06日,19.39
2018年02月05日,16.53
2018年02月04日,21.04
2018年02月03日,24.20
2018年02月02日,23.07
2018年02月01日,24.97
2018年01月31日,28.76
2018年01月30日,27.13
2018年01月29日,31.71
2018年01月28日,32.90
2018年01月27日,29.49
2018年01月26日,28.80
2018年01月25日,29.19
2018年01月24日,29.60
2018年01月23日,28.37
2018年01月22日,29.26
2018年01月21日,30.32
2018年01月20日,35.01
2018年01月19日,31.70
2018年01月18日,30.19
2018年01月17日,29.12
2018年01月16日,28.46
2018年01月15日,40.50
2018年01月14日,42.96
2018年01月13日,42.39
2018年01月12日,36.40
2018年01月11日,32.79
2018年01月10日,36.95
2018年01月09日,38.32
2018年01月08日,34.19
2018年01月07日,40.79
2018年01月06日,38.42
2018年01月05日,36.20
2018年01月04日,36.32
2018年01月03日,34.86
2018年01月02日,34.92
2018年01月01日,34.17
2017年12月31日,28.00
2017年12月30日,26.92
2017年12月29日,30.03
