date,price
2018年05月14日,4.01
2018年05月13日,4.08
2018年05月12日,3.94
2018年05月11日,4.11
2018年05月10日,3.87
2018年05月09日,4.21
2018年05月08日,4.46
2018年05月07日,4.28
2018年05月06日,4.27
2018年05月05日,4.42
2018年05月04日,4.56
2018年05月03日,4.40
2018年05月02日,4.37
2018年05月01日,4.41
2018年04月30日,4.34
2018年04月29日,4.71
2018年04月28日,4.83
2018年04月27日,4.30
2018年04月26日,4.29
2018年04月25日,3.71
2018年04月24日,4.30
2018年04月23日,3.84
2018年04月22日,3.45
2018年04月21日,3.47
2018年04月20日,3.50
2018年04月19日,3.29
2018年04月18日,3.18
2018年04月17日,2.79
2018年04月16日,2.83
2018年04月15日,2.75
2018年04月14日,2.51
2018年04月13日,2.48
2018年04月12日,2.56
2018年04月11日,2.24
2018年04月10日,2.11
2018年04月09日,2.01
2018年04月08日,2.07
2018年04月07日,2.04
2018年04月06日,1.89
2018年04月05日,1.96
2018年04月04日,2.06
2018年04月03日,2.32
2018年04月02日,2.12
2018年04月01日,2.06
2018年03月31日,2.21
2018年03月30日,2.28
2018年03月29日,2.33
2018年03月28日,2.85
2018年03月27日,2.84
2018年03月26日,3.06
2018年03月25日,3.51
2018年03月24日,3.64
2018年03月23日,4.06
2018年03月22日,3.59
2018年03月21日,3.47
2018年03月20日,2.62
2018年03月19日,2.35
2018年03月18日,2.07
2018年03月17日,1.96
2018年03月16日,2.25
2018年03月15日,2.27
2018年03月14日,2.38
2018年03月13日,2.88
2018年03月12日,2.64
2018年03月11日,2.78
2018年03月10日,2.47
2018年03月09日,2.72
2018年03月08日,2.61
2018年03月07日,3.00
2018年03月06日,3.42
2018年03月05日,3.59
2018年03月04日,3.64
2018年03月03日,3.66
2018年03月02日,3.71
2018年03月01日,3.81
2018年02月28日,3.55
2018年02月27日,4.03
2018年02月26日,4.00
2018年02月25日,3.87
2018年02月24日,3.83
2018年02月23日,3.95
2018年02月22日,3.76
2018年02月21日,4.02
2018年02月20日,4.16
2018年02月19日,4.81
2018年02月18日,4.71
2018年02月17日,5.39
2018年02月16日,4.85
2018年02月15日,4.86
2018年02月14日,4.42
2018年02月13日,3.94
2018年02月12日,4.25
2018年02月11日,3.80
2018年02月10日,4.09
2018年02月09日,4.57
2018年02月08日,4.33
2018年02月07日,3.81
2018年02月06日,4.41
2018年02月05日,3.08
2018年02月04日,4.36
2018年02月03日,5.43
2018年02月02日,5.30
2018年02月01日,6.09
2018年01月31日,7.68
2018年01月30日,8.27
2018年01月29日,9.47
2018年01月28日,9.41
2018年01月27日,7.86
2018年01月26日,7.94
2018年01月25日,7.84
2018年01月24日,8.34
2018年01月23日,8.12
2018年01月22日,8.16
2018年01月21日,8.88
2018年01月20日,10.33
2018年01月19日,8.43
2018年01月18日,7.93
2018年01月17日,7.47
2018年01月16日,7.51
2018年01月15日,9.87
2018年01月14日,10.59
2018年01月13日,9.92
2018年01月12日,9.96
2018年01月11日,9.20
2018年01月10日,11.04
2018年01月09日,12.19
2018年01月08日,10.41
2018年01月07日,9.92
2018年01月06日,7.76
2018年01月05日,6.84
2018年01月04日,7.24
2018年01月03日,7.34
2018年01月02日,6.49
2018年01月01日,6.16
2017年12月31日,5.35
2017年12月30日,5.20
2017年12月29日,5.51
2017年12月28日,5.79
2017年12月27日,5.19
2017年12月26日,6.18
2017年12月25日,6.91
2017年12月24日,4.34
2017年12月23日,4.06
2017年12月22日,2.73
2017年12月21日,2.91
2017年12月20日,2.16
2017年12月19日,2.14
2017年12月18日,2.16
2017年12月17日,2.83
2017年12月16日,2.60
2017年12月15日,2.40
2017年12月14日,2.02
2017年12月13日,2.03
2017年12月12日,2.11
2017年12月11日,1.98
2017年12月10日,1.76
2017年12月09日,1.88
2017年12月08日,1.78
2017年12月07日,1.90
2017年12月06日,1.75
2017年12月05日,1.58
2017年12月04日,1.16
2017年12月03日,1.55
2017年12月02日,1.62
2017年12月01日,1.46
2017年11月30日,1.35
2017年11月29日,1.10
2017年11月28日,1.62
2017年11月27日,1.45
2017年11月26日,1.00
2017年11月25日,1.19
2017年11月24日,1.10
2017年11月23日,1.01
2017年11月22日,1.09
2017年11月21日,1.05
2017年11月20日,0.964074
2017年11月19日,1.00
2017年11月18日,0.978447
2017年11月17日,0.975336
2017年11月16日,1.04
2017年11月15日,1.00
2017年11月14日,1.06
2017年11月13日,0.957364
2017年11月12日,1.04
2017年11月11日,1.05
2017年11月10日,0.916497
2017年11月09日,1.22
2017年11月08日,1.32
2017年11月07日,1.41
2017年11月06日,1.73
2017年11月05日,1.58
2017年11月04日,1.40
2017年11月03日,1.35
2017年11月02日,1.17
2017年11月01日,1.08
2017年10月31日,0.685691
2017年10月30日,0.565623
2017年10月29日,0.455864
2017年10月28日,0.477654
2017年10月27日,0.497052
