date,price
2018年05月14日,1.95
2018年05月13日,2.01
2018年05月12日,1.90
2018年05月11日,1.84
2018年05月10日,2.14
2018年05月09日,2.28
2018年05月08日,2.45
2018年05月07日,2.26
2018年05月06日,2.30
2018年05月05日,2.38
2018年05月04日,2.47
2018年05月03日,2.60
2018年05月02日,2.26
2018年05月01日,1.98
2018年04月30日,1.96
2018年04月29日,2.05
2018年04月28日,2.04
2018年04月27日,1.90
2018年04月26日,2.04
2018年04月25日,1.80
2018年04月24日,2.15
2018年04月23日,2.13
2018年04月22日,2.01
2018年04月21日,1.92
2018年04月20日,1.97
2018年04月19日,1.77
2018年04月18日,1.69
2018年04月17日,1.55
2018年04月16日,1.62
2018年04月15日,1.67
2018年04月14日,1.43
2018年04月13日,1.32
2018年04月12日,1.34
2018年04月11日,1.07
2018年04月10日,1.01
2018年04月09日,0.989505
2018年04月08日,1.02
2018年04月07日,0.984719
2018年04月06日,0.935367
2018年04月05日,0.982953
2018年04月04日,0.990158
2018年04月03日,1.11
2018年04月02日,1.03
2018年04月01日,0.994798
2018年03月31日,1.08
2018年03月30日,1.11
2018年03月29日,1.09
2018年03月28日,1.19
2018年03月27日,1.17
2018年03月26日,1.24
2018年03月25日,1.32
2018年03月24日,1.33
2018年03月23日,1.34
2018年03月22日,1.33
2018年03月21日,1.37
2018年03月20日,1.44
2018年03月19日,1.33
2018年03月18日,1.23
2018年03月17日,1.14
2018年03月16日,1.10
2018年03月15日,1.09
2018年03月14日,1.12
2018年03月13日,1.31
2018年03月12日,1.34
2018年03月11日,1.39
2018年03月10日,1.31
2018年03月09日,1.39
2018年03月08日,1.40
2018年03月07日,1.53
2018年03月06日,1.70
2018年03月05日,1.88
2018年03月04日,1.89
2018年03月03日,1.86
2018年03月02日,1.92
2018年03月01日,1.97
2018年02月28日,1.86
2018年02月27日,1.97
2018年02月26日,1.87
2018年02月25日,1.82
2018年02月24日,1.78
2018年02月23日,1.75
2018年02月22日,1.62
2018年02月21日,1.76
2018年02月20日,1.91
2018年02月19日,2.09
2018年02月18日,1.98
2018年02月17日,2.20
2018年02月16日,2.10
2018年02月15日,2.13
2018年02月14日,2.03
2018年02月13日,1.81
2018年02月12日,1.87
2018年02月11日,1.70
2018年02月10日,1.86
2018年02月09日,1.96
2018年02月08日,1.78
2018年02月07日,1.60
2018年02月06日,1.62
2018年02月05日,1.45
2018年02月04日,1.74
2018年02月03日,1.99
2018年02月02日,1.81
2018年02月01日,1.91
2018年01月31日,2.31
2018年01月30日,2.22
2018年01月29日,2.58
2018年01月28日,2.52
2018年01月27日,2.45
2018年01月26日,2.37
2018年01月25日,2.37
2018年01月24日,2.43
2018年01月23日,2.50
2018年01月22日,2.47
2018年01月21日,2.77
2018年01月20日,3.00
2018年01月19日,2.70
2018年01月18日,2.75
2018年01月17日,2.72
2018年01月16日,2.60
2018年01月15日,3.48
2018年01月14日,3.74
2018年01月13日,3.94
2018年01月12日,3.69
2018年01月11日,3.37
2018年01月10日,3.78
2018年01月09日,3.54
2018年01月08日,3.85
2018年01月07日,4.07
2018年01月06日,3.94
2018年01月05日,3.75
2018年01月04日,4.08
2018年01月03日,4.13
2018年01月02日,4.00
2018年01月01日,3.97
2017年12月31日,3.55
2017年12月30日,3.34
2017年12月29日,3.69
2017年12月28日,3.68
2017年12月27日,3.74
2017年12月26日,3.80
2017年12月25日,3.50
2017年12月24日,3.48
2017年12月23日,3.61
2017年12月22日,3.45
2017年12月21日,5.03
2017年12月20日,5.09
2017年12月19日,5.37
2017年12月18日,4.24
2017年12月17日,3.93
2017年12月16日,3.63
2017年12月15日,3.90
2017年12月14日,3.78
2017年12月13日,4.09
2017年12月12日,4.72
2017年12月11日,4.27
2017年12月10日,4.13
2017年12月09日,4.68
2017年12月08日,5.01
2017年12月07日,4.14
2017年12月06日,4.36
2017年12月05日,3.84
2017年12月04日,2.76
2017年12月03日,1.88
2017年12月02日,1.44
2017年12月01日,1.45
2017年11月30日,1.33
2017年11月29日,1.25
2017年11月28日,1.50
2017年11月27日,1.04
2017年11月26日,0.841932
2017年11月25日,0.806117
2017年11月24日,0.786914
2017年11月23日,0.793487
2017年11月22日,0.899570
2017年11月21日,0.888499
2017年11月20日,0.966548
2017年11月19日,0.864638
2017年11月18日,0.823032
2017年11月17日,0.792462
