date,price
2018年05月14日,11.08
2018年05月13日,11.00
2018年05月12日,10.15
2018年05月11日,10.05
2018年05月10日,11.11
2018年05月09日,11.86
2018年05月08日,12.17
2018年05月07日,12.68
2018年05月06日,13.27
2018年05月05日,13.56
2018年05月04日,13.73
2018年05月03日,14.40
2018年05月02日,14.19
2018年05月01日,13.27
2018年04月30日,13.16
2018年04月29日,12.98
2018年04月28日,11.85
2018年04月27日,11.20
2018年04月26日,11.75
2018年04月25日,11.05
2018年04月24日,13.09
2018年04月23日,12.30
2018年04月22日,11.53
2018年04月21日,11.66
2018年04月20日,12.32
2018年04月19日,11.78
2018年04月18日,11.31
2018年04月17日,10.48
2018年04月16日,10.69
2018年04月15日,10.48
2018年04月14日,9.98
2018年04月13日,9.77
2018年04月12日,9.72
2018年04月11日,8.74
2018年04月10日,8.53
2018年04月09日,8.63
2018年04月08日,9.15
2018年04月07日,8.59
2018年04月06日,8.25
2018年04月05日,8.61
2018年04月04日,8.41
2018年04月03日,10.16
2018年04月02日,7.83
2018年04月01日,7.07
2018年03月31日,7.54
2018年03月30日,7.45
2018年03月29日,7.94
2018年03月28日,9.66
2018年03月27日,9.85
2018年03月26日,10.97
2018年03月25日,11.63
2018年03月24日,11.89
2018年03月23日,12.03
2018年03月22日,12.50
2018年03月21日,13.38
2018年03月20日,13.63
2018年03月19日,12.74
2018年03月18日,12.25
2018年03月17日,12.17
2018年03月16日,13.10
2018年03月15日,13.35
2018年03月14日,11.73
2018年03月13日,14.03
2018年03月12日,14.16
2018年03月11日,14.92
2018年03月10日,14.20
2018年03月09日,15.49
2018年03月08日,15.07
2018年03月07日,15.62
2018年03月06日,16.90
2018年03月05日,18.46
2018年03月04日,18.92
2018年03月03日,18.87
2018年03月02日,19.21
2018年03月01日,20.12
2018年02月28日,18.34
2018年02月27日,20.12
2018年02月26日,20.65
2018年02月25日,20.01
2018年02月24日,20.82
2018年02月23日,22.60
2018年02月22日,21.48
2018年02月21日,22.41
2018年02月20日,26.19
2018年02月19日,30.37
2018年02月18日,29.69
2018年02月17日,33.22
2018年02月16日,32.01
2018年02月15日,31.37
2018年02月14日,28.28
2018年02月13日,26.00
2018年02月12日,28.12
2018年02月11日,25.28
2018年02月10日,27.26
2018年02月09日,27.25
2018年02月08日,23.09
2018年02月07日,18.31
2018年02月06日,18.26
2018年02月05日,15.13
2018年02月04日,20.01
2018年02月03日,23.08
2018年02月02日,21.41
2018年02月01日,22.34
2018年01月31日,26.34
2018年01月30日,21.71
2018年01月29日,22.55
2018年01月28日,23.29
2018年01月27日,23.25
2018年01月26日,21.40
2018年01月25日,22.65
2018年01月24日,22.16
2018年01月23日,21.82
2018年01月22日,21.39
2018年01月21日,22.12
2018年01月20日,25.51
2018年01月19日,23.04
2018年01月18日,23.03
2018年01月17日,22.31
2018年01月16日,21.16
2018年01月15日,26.91
2018年01月14日,27.72
2018年01月13日,29.34
2018年01月12日,29.43
2018年01月11日,25.26
2018年01月10日,29.19
2018年01月09日,29.91
2018年01月08日,31.30
2018年01月07日,34.11
2018年01月06日,31.24
2018年01月05日,24.16
2018年01月04日,21.46
2018年01月03日,21.00
2018年01月02日,21.95
2018年01月01日,21.13
2017年12月31日,20.41
2017年12月30日,19.43
2017年12月29日,22.75
2017年12月28日,23.05
2017年12月27日,24.02
2017年12月26日,25.26
2017年12月25日,23.86
2017年12月24日,20.02
2017年12月23日,20.71
2017年12月22日,19.50
2017年12月21日,24.17
2017年12月20日,19.57
2017年12月19日,16.81
2017年12月18日,17.02
2017年12月17日,13.43
2017年12月16日,10.48
2017年12月15日,10.22
2017年12月14日,10.72
2017年12月13日,9.51
2017年12月12日,9.35
2017年12月11日,8.17
2017年12月10日,7.94
2017年12月09日,8.21
2017年12月08日,8.06
2017年12月07日,7.36
2017年12月06日,8.49
2017年12月05日,9.94
2017年12月04日,8.77
2017年12月03日,7.74
2017年12月02日,7.70
2017年12月01日,7.73
2017年11月30日,7.50
2017年11月29日,6.90
2017年11月28日,7.79
2017年11月27日,7.89
2017年11月26日,7.51
2017年11月25日,8.04
2017年11月24日,7.89
2017年11月23日,7.49
2017年11月22日,8.57
2017年11月21日,9.68
2017年11月20日,9.77
2017年11月19日,9.74
2017年11月18日,9.28
2017年11月17日,8.28
2017年11月16日,8.41
2017年11月15日,8.45
2017年11月14日,7.10
2017年11月13日,6.34
2017年11月12日,5.50
2017年11月11日,5.78
2017年11月10日,5.64
2017年11月09日,6.45
2017年11月08日,6.05
2017年11月07日,5.19
2017年11月06日,4.59
2017年11月05日,4.44
2017年11月04日,4.59
2017年11月03日,4.54
2017年11月02日,4.33
2017年11月01日,4.51
2017年10月31日,4.74
2017年10月30日,4.93
2017年10月29日,4.88
2017年10月28日,4.68
2017年10月27日,4.96
2017年10月26日,5.18
2017年10月25日,5.20
2017年10月24日,5.53
2017年10月23日,4.71
2017年10月22日,4.74
2017年10月21日,4.71
2017年10月20日,4.93
2017年10月19日,4.98
2017年10月18日,5.14
2017年10月17日,5.10
2017年10月16日,4.96
2017年10月15日,4.91
2017年10月14日,4.79
2017年10月13日,4.90
2017年10月12日,4.98
2017年10月11日,5.36
2017年10月10日,4.92
2017年10月09日,4.70
2017年10月08日,4.66
2017年10月07日,5.19
2017年10月06日,5.34
2017年10月05日,5.41
2017年10月04日,5.53
2017年10月03日,5.70
2017年10月02日,5.42
2017年10月01日,5.51
2017年09月30日,5.82
2017年09月29日,5.70
2017年09月28日,5.99
2017年09月27日,6.32
2017年09月26日,6.13
2017年09月25日,6.15
2017年09月24日,5.75
2017年09月23日,5.98
2017年09月22日,5.75
2017年09月21日,5.39
2017年09月20日,6.06
2017年09月19日,6.20
2017年09月18日,6.74
2017年09月17日,5.57
2017年09月16日,5.56
2017年09月15日,5.58
2017年09月14日,4.36
2017年09月13日,6.57
2017年09月12日,7.02
2017年09月11日,6.70
2017年09月10日,6.57
2017年09月09日,6.90
2017年09月08日,6.91
2017年09月07日,7.48
2017年09月06日,6.96
2017年09月05日,6.08
2017年09月04日,5.86
2017年09月03日,7.08
2017年09月02日,6.72
2017年09月01日,7.41
2017年08月31日,7.09
2017年08月30日,5.95
2017年08月29日,6.03
2017年08月28日,6.31
2017年08月27日,6.86
2017年08月26日,5.65
2017年08月25日,4.32
2017年08月24日,3.67
2017年08月23日,3.05
2017年08月22日,2.91
2017年08月21日,2.71
2017年08月20日,3.40
2017年08月19日,2.85
2017年08月18日,2.01
2017年08月17日,2.08
2017年08月16日,2.24
2017年08月15日,2.17
2017年08月14日,2.28
2017年08月13日,2.24
2017年08月12日,2.34
2017年08月11日,2.19
2017年08月10日,2.18
2017年08月09日,2.28
2017年08月08日,2.36
2017年08月07日,2.14
2017年08月06日,2.16
