date,price
2018年05月14日,215.04
2018年05月13日,209.58
2018年05月12日,201.96
2018年05月11日,197.74
2018年05月10日,218.22
2018年05月09日,227.52
2018年05月08日,223.35
2018年05月07日,233.07
2018年05月06日,235.49
2018年05月05日,240.78
2018年05月04日,241.53
2018年05月03日,245.98
2018年05月02日,249.66
2018年05月01日,240.26
2018年04月30日,242.46
2018年04月29日,256.87
2018年04月28日,261.50
2018年04月27日,251.88
2018年04月26日,268.27
2018年04月25日,257.14
2018年04月24日,296.04
2018年04月23日,283.30
2018年04月22日,271.30
2018年04月21日,258.18
2018年04月20日,271.98
2018年04月19日,238.61
2018年04月18日,228.34
2018年04月17日,195.75
2018年04月16日,194.10
2018年04月15日,200.62
2018年04月14日,190.42
2018年04月13日,188.87
2018年04月12日,191.94
2018年04月11日,169.16
2018年04月10日,165.57
2018年04月09日,167.06
2018年04月08日,173.97
2018年04月07日,170.12
2018年04月06日,162.00
2018年04月05日,173.31
2018年04月04日,170.10
2018年04月03日,189.53
2018年04月02日,177.51
2018年04月01日,175.51
2018年03月31日,179.56
2018年03月30日,172.36
2018年03月29日,176.86
2018年03月28日,199.16
2018年03月27日,187.93
2018年03月26日,197.18
2018年03月25日,211.78
2018年03月24日,209.16
2018年03月23日,213.91
2018年03月22日,212.71
2018年03月21日,218.63
2018年03月20日,223.74
2018年03月19日,216.77
2018年03月18日,209.63
2018年03月17日,197.91
2018年03月16日,215.70
2018年03月15日,213.31
2018年03月14日,215.56
2018年03月13日,248.07
2018年03月12日,259.42
2018年03月11日,282.35
2018年03月10日,257.04
2018年03月09日,288.09
2018年03月08日,278.64
2018年03月07日,339.15
2018年03月06日,346.40
2018年03月05日,373.25
2018年03月04日,368.97
2018年03月03日,352.95
2018年03月02日,344.73
2018年03月01日,314.04
2018年02月28日,285.70
2018年02月27日,302.54
2018年02月26日,293.61
2018年02月25日,281.02
2018年02月24日,273.79
2018年02月23日,285.71
2018年02月22日,282.76
2018年02月21日,322.61
2018年02月20日,304.40
2018年02月19日,316.49
2018年02月18日,300.12
2018年02月17日,325.67
2018年02月16日,296.48
2018年02月15日,303.25
2018年02月14日,276.66
2018年02月13日,234.69
2018年02月12日,247.57
2018年02月11日,229.49
2018年02月10日,250.03
2018年02月09日,260.43
2018年02月08日,247.22
2018年02月07日,207.28
2018年02月06日,212.29
2018年02月05日,179.49
2018年02月04日,221.05
2018年02月03日,251.59
2018年02月02日,235.63
2018年02月01日,240.97
2018年01月31日,272.89
2018年01月30日,274.02
2018年01月29日,316.63
2018年01月28日,332.17
2018年01月27日,321.36
2018年01月26日,323.69
2018年01月25日,317.10
2018年01月24日,317.40
2018年01月23日,308.46
2018年01月22日,315.90
2018年01月21日,345.08
2018年01月20日,383.79
2018年01月19日,364.62
2018年01月18日,316.47
2018年01月17日,319.19
2018年01月16日,320.04
2018年01月15日,414.57
2018年01月14日,399.52
2018年01月13日,420.05
2018年01月12日,394.78
2018年01月11日,355.59
2018年01月10日,407.74
2018年01月09日,413.33
2018年01月08日,405.07
2018年01月07日,459.33
2018年01月06日,452.77
2018年01月05日,384.94
2018年01月04日,403.05
2018年01月03日,412.06
2018年01月02日,383.42
2018年01月01日,358.99
2017年12月31日,349.03
2017年12月30日,330.80
2017年12月29日,377.37
2017年12月28日,378.90
2017年12月27日,421.85
2017年12月26日,381.54
2017年12月25日,360.78
2017年12月24日,337.06
2017年12月23日,382.04
2017年12月22日,346.11
2017年12月21日,417.98
2017年12月20日,469.20
2017年12月19日,377.24
2017年12月18日,381.51
2017年12月17日,351.37
2017年12月16日,327.32
2017年12月15日,312.32
2017年12月14日,325.21
2017年12月13日,305.75
2017年12月12日,308.07
2017年12月11日,279.67
2017年12月10日,245.33
2017年12月09日,262.53
2017年12月08日,276.74
2017年12月07日,280.86
2017年12月06日,278.69
2017年12月05日,269.48
2017年12月04日,210.24
2017年12月03日,200.05
2017年12月02日,203.03
2017年12月01日,190.94
2017年11月30日,180.14
2017年11月29日,168.15
2017年11月28日,203.21
2017年11月27日,173.39
2017年11月26日,163.37
2017年11月25日,168.44
2017年11月24日,160.03
2017年11月23日,158.61
2017年11月22日,165.95
2017年11月21日,141.74
2017年11月20日,135.76
2017年11月19日,129.48
2017年11月18日,130.80
2017年11月17日,126.70
2017年11月16日,120.31
2017年11月15日,121.37
2017年11月14日,122.35
2017年11月13日,123.40
2017年11月12日,123.86
2017年11月11日,119.62
2017年11月10日,105.59
2017年11月09日,120.78
2017年11月08日,113.31
2017年11月07日,99.76
2017年11月06日,102.92
2017年11月05日,86.35
2017年11月04日,87.30
2017年11月03日,87.99
2017年11月02日,83.76
2017年11月01日,85.72
2017年10月31日,87.64
2017年10月30日,88.84
2017年10月29日,88.65
2017年10月28日,86.31
2017年10月27日,86.75
2017年10月26日,88.58
2017年10月25日,88.13
2017年10月24日,88.40
2017年10月23日,85.21
2017年10月22日,86.58
2017年10月21日,88.12
2017年10月20日,90.54
2017年10月19日,88.62
2017年10月18日,89.54
2017年10月17日,91.28
2017年10月16日,95.90
2017年10月15日,94.87
2017年10月14日,100.23
2017年10月13日,95.13
2017年10月12日,87.09
2017年10月11日,87.42
2017年10月10日,86.82
2017年10月09日,85.49
2017年10月08日,89.77
2017年10月07日,91.70
2017年10月06日,91.19
2017年10月05日,91.86
2017年10月04日,90.41
2017年10月03日,92.96
2017年10月02日,91.54
