date,price
2018年05月14日,0.368996
2018年05月13日,0.356028
2018年05月12日,0.332630
2018年05月11日,0.320185
2018年05月10日,0.351925
2018年05月09日,0.379517
2018年05月08日,0.378160
2018年05月07日,0.390551
2018年05月06日,0.418524
2018年05月05日,0.426755
2018年05月04日,0.431269
2018年05月03日,0.434050
2018年05月02日,0.420621
2018年05月01日,0.404853
2018年04月30日,0.408880
2018年04月29日,0.427005
2018年04月28日,0.420334
2018年04月27日,0.388561
2018年04月26日,0.403456
2018年04月25日,0.376121
2018年04月24日,0.434433
2018年04月23日,0.394801
2018年04月22日,0.386091
2018年04月21日,0.388677
2018年04月20日,0.405268
2018年04月19日,0.387630
2018年04月18日,0.375668
2018年04月17日,0.340167
2018年04月16日,0.344979
2018年04月15日,0.358358
2018年04月14日,0.305177
2018年04月13日,0.282566
2018年04月12日,0.275733
2018年04月11日,0.246886
2018年04月10日,0.235359
2018年04月09日,0.229289
2018年04月08日,0.235490
2018年04月07日,0.222968
2018年04月06日,0.219099
2018年04月05日,0.224768
2018年04月04日,0.227384
2018年04月03日,0.260692
2018年04月02日,0.226911
2018年04月01日,0.208790
2018年03月31日,0.221104
2018年03月30日,0.220901
2018年03月29日,0.221222
2018年03月28日,0.253923
2018年03月27日,0.249203
2018年03月26日,0.266100
2018年03月25日,0.288878
2018年03月24日,0.282152
2018年03月23日,0.278787
2018年03月22日,0.297499
2018年03月21日,0.290294
2018年03月20日,0.310745
2018年03月19日,0.301993
2018年03月18日,0.281759
2018年03月17日,0.281779
2018年03月16日,0.338381
2018年03月15日,0.376528
2018年03月14日,0.399253
2018年03月13日,0.465787
2018年03月12日,0.390672
2018年03月11日,0.350379
2018年03月10日,0.341924
2018年03月09日,0.338070
2018年03月08日,0.341636
2018年03月07日,0.297047
2018年03月06日,0.339163
2018年03月05日,0.353482
2018年03月04日,0.356651
2018年03月03日,0.377967
2018年03月02日,0.395159
2018年03月01日,0.416245
2018年02月28日,0.401794
2018年02月27日,0.401762
2018年02月26日,0.402877
2018年02月25日,0.398644
2018年02月24日,0.406426
2018年02月23日,0.439576
2018年02月22日,0.432245
2018年02月21日,0.464439
2018年02月20日,0.484397
2018年02月19日,0.529261
2018年02月18日,0.530407
2018年02月17日,0.598880
2018年02月16日,0.568887
2018年02月15日,0.561359
2018年02月14日,0.570005
2018年02月13日,0.533186
2018年02月12日,0.557894
2018年02月11日,0.528640
2018年02月10日,0.590511
2018年02月09日,0.590486
2018年02月08日,0.543094
2018年02月07日,0.536718
2018年02月06日,0.584200
2018年02月05日,0.449672
2018年02月04日,0.550870
2018年02月03日,0.628795
2018年02月02日,0.582652
2018年02月01日,0.618265
2018年01月31日,0.779857
2018年01月30日,0.776491
2018年01月29日,0.935431
2018年01月28日,1.03
2018年01月27日,1.06
2018年01月26日,0.839974
2018年01月25日,0.949100
2018年01月24日,0.963750
2018年01月23日,0.942383
2018年01月22日,0.991465
2018年01月21日,1.07
2018年01月20日,1.21
2018年01月19日,1.10
2018年01月18日,1.08
2018年01月17日,1.02
2018年01月16日,1.03
2018年01月15日,1.39
2018年01月14日,1.39
2018年01月13日,1.51
2018年01月12日,1.44
2018年01月11日,1.31
2018年01月10日,1.45
2018年01月09日,1.54
2018年01月08日,1.65
2018年01月07日,1.84
2018年01月06日,1.65
2018年01月05日,1.59
2018年01月04日,1.64
2018年01月03日,1.79
2018年01月02日,1.16
2018年01月01日,1.04
2017年12月31日,1.03
2017年12月30日,0.926883
2017年12月29日,1.06
2017年12月28日,0.909741
2017年12月27日,0.944464
2017年12月26日,0.988380
2017年12月25日,1.01
2017年12月24日,1.04
2017年12月23日,0.927166
2017年12月22日,0.816177
2017年12月21日,0.998102
2017年12月20日,0.918996
2017年12月19日,0.942962
2017年12月18日,0.846193
2017年12月17日,0.687827
2017年12月16日,0.657999
2017年12月15日,0.592682
2017年12月14日,0.610045
2017年12月13日,0.523858
2017年12月12日,0.534018
2017年12月11日,0.490530
2017年12月10日,0.393966
2017年12月09日,0.445482
2017年12月08日,0.639449
2017年12月07日,0.236283
2017年12月06日,0.270295
2017年12月05日,0.301329
2017年12月04日,0.285884
