date,price
2018年05月14日,66.46
2018年05月13日,67.76
2018年05月12日,64.76
2018年05月11日,63.40
2018年05月10日,70.18
2018年05月09日,76.33
2018年05月08日,77.08
2018年05月07日,79.29
2018年05月06日,83.56
2018年05月05日,84.36
2018年05月04日,84.26
2018年05月03日,87.82
2018年05月02日,84.79
2018年05月01日,84.64
2018年04月30日,84.27
2018年04月29日,91.07
2018年04月28日,76.75
2018年04月27日,72.67
2018年04月26日,77.19
2018年04月25日,71.38
2018年04月24日,83.01
2018年04月23日,76.22
2018年04月22日,73.76
2018年04月21日,74.99
2018年04月20日,79.03
2018年04月19日,74.13
2018年04月18日,72.84
2018年04月17日,65.75
2018年04月16日,66.70
2018年04月15日,70.33
2018年04月14日,63.86
2018年04月13日,62.21
2018年04月12日,66.71
2018年04月11日,58.54
2018年04月10日,52.62
2018年04月09日,52.93
2018年04月08日,49.19
2018年04月07日,46.42
2018年04月06日,44.94
2018年04月05日,47.20
2018年04月04日,47.55
2018年04月03日,53.64
2018年04月02日,48.82
2018年04月01日,47.30
2018年03月31日,50.13
2018年03月30日,50.31
2018年03月29日,51.88
2018年03月28日,57.24
2018年03月27日,55.53
2018年03月26日,59.74
2018年03月25日,65.43
2018年03月24日,65.73
2018年03月23日,68.56
2018年03月22日,69.64
2018年03月21日,72.95
2018年03月20日,76.03
2018年03月19日,73.44
2018年03月18日,65.50
2018年03月17日,61.53
2018年03月16日,68.25
2018年03月15日,69.57
2018年03月14日,71.67
2018年03月13日,83.38
2018年03月12日,85.91
2018年03月11日,91.19
2018年03月10日,85.58
2018年03月09日,92.67
2018年03月08日,91.57
2018年03月07日,100.44
2018年03月06日,105.11
2018年03月05日,113.02
2018年03月04日,119.36
2018年03月03日,122.14
2018年03月02日,124.24
2018年03月01日,129.05
2018年02月28日,133.24
2018年02月27日,142.50
2018年02月26日,134.17
2018年02月25日,118.46
2018年02月24日,118.57
2018年02月23日,121.65
2018年02月22日,114.08
2018年02月21日,120.96
2018年02月20日,128.36
2018年02月19日,137.47
2018年02月18日,127.38
2018年02月17日,136.75
2018年02月16日,128.85
2018年02月15日,123.29
2018年02月14日,122.52
2018年02月13日,111.17
2018年02月12日,113.25
2018年02月11日,103.40
2018年02月10日,110.63
2018年02月09日,117.57
2018年02月08日,112.43
2018年02月07日,102.50
2018年02月06日,105.95
2018年02月05日,82.37
2018年02月04日,107.45
2018年02月03日,122.97
2018年02月02日,120.13
2018年02月01日,126.00
2018年01月31日,145.76
2018年01月30日,146.28
2018年01月29日,168.14
2018年01月28日,152.16
2018年01月27日,140.20
2018年01月26日,137.89
2018年01月25日,138.00
2018年01月24日,136.41
2018年01月23日,121.60
2018年01月22日,123.66
2018年01月21日,131.09
2018年01月20日,149.94
2018年01月19日,139.50
2018年01月18日,142.66
2018年01月17日,141.37
2018年01月16日,145.30
2018年01月15日,187.41
2018年01月14日,170.42
2018年01月13日,140.62
2018年01月12日,124.47
2018年01月11日,108.30
2018年01月10日,122.99
2018年01月09日,126.94
2018年01月08日,102.38
2018年01月07日,102.43
2018年01月06日,100.86
2018年01月05日,95.28
2018年01月04日,99.11
2018年01月03日,105.56
2018年01月02日,90.33
2018年01月01日,78.82
2017年12月31日,75.96
2017年12月30日,72.40
2017年12月29日,73.90
2017年12月28日,65.43
2017年12月27日,66.88
