date,price
2018年05月14日,14.25
2018年05月13日,14.28
2018年05月12日,13.70
2018年05月11日,13.37
2018年05月10日,15.31
2018年05月09日,16.18
2018年05月08日,16.05
2018年05月07日,16.61
2018年05月06日,16.92
2018年05月05日,17.39
2018年05月04日,17.81
2018年05月03日,18.22
2018年05月02日,17.24
2018年05月01日,16.99
2018年04月30日,16.95
2018年04月29日,18.09
2018年04月28日,18.08
2018年04月27日,17.41
2018年04月26日,18.22
2018年04月25日,15.59
2018年04月24日,18.16
2018年04月23日,15.85
2018年04月22日,15.19
2018年04月21日,15.40
2018年04月20日,16.23
2018年04月19日,15.73
2018年04月18日,15.02
2018年04月17日,14.24
2018年04月16日,15.44
2018年04月15日,14.10
2018年04月14日,13.66
2018年04月13日,12.67
2018年04月12日,12.02
2018年04月11日,9.82
2018年04月10日,9.25
2018年04月09日,9.10
2018年04月08日,9.56
2018年04月07日,9.39
2018年04月06日,9.32
2018年04月05日,8.94
2018年04月04日,8.25
2018年04月03日,9.52
2018年04月02日,8.75
2018年04月01日,8.09
2018年03月31日,8.23
2018年03月30日,8.28
2018年03月29日,8.46
2018年03月28日,9.73
2018年03月27日,9.77
2018年03月26日,10.34
2018年03月25日,10.88
2018年03月24日,11.10
2018年03月23日,11.50
2018年03月22日,11.57
2018年03月21日,11.86
2018年03月20日,12.08
2018年03月19日,11.45
2018年03月18日,10.47
2018年03月17日,9.86
2018年03月16日,11.22
2018年03月15日,11.31
2018年03月14日,11.69
2018年03月13日,13.75
2018年03月12日,13.78
2018年03月11日,14.68
2018年03月10日,13.44
2018年03月09日,15.02
2018年03月08日,13.74
2018年03月07日,14.50
2018年03月06日,15.86
2018年03月05日,17.22
2018年03月04日,17.94
2018年03月03日,17.90
2018年03月02日,18.52
2018年03月01日,19.21
2018年02月28日,18.62
2018年02月27日,20.14
2018年02月26日,17.97
2018年02月25日,16.77
2018年02月24日,16.75
2018年02月23日,17.57
2018年02月22日,16.60
2018年02月21日,18.06
2018年02月20日,18.40
2018年02月19日,17.69
2018年02月18日,16.66
2018年02月17日,18.29
2018年02月16日,18.17
2018年02月15日,16.67
2018年02月14日,15.66
2018年02月13日,12.99
2018年02月12日,12.84
2018年02月11日,11.86
2018年02月10日,12.51
2018年02月09日,13.20
2018年02月08日,11.89
2018年02月07日,10.90
2018年02月06日,11.37
2018年02月05日,9.27
2018年02月04日,12.06
2018年02月03日,14.05
2018年02月02日,13.25
2018年02月01日,13.99
2018年01月31日,15.74
2018年01月30日,14.92
2018年01月29日,16.91
2018年01月28日,17.09
2018年01月27日,15.98
2018年01月26日,16.58
2018年01月25日,17.96
2018年01月24日,17.85
2018年01月23日,16.05
2018年01月22日,15.66
2018年01月21日,16.97
2018年01月20日,19.71
2018年01月19日,18.43
2018年01月18日,17.73
2018年01月17日,18.06
2018年01月16日,17.38
2018年01月15日,22.46
2018年01月14日,23.83
2018年01月13日,25.72
2018年01月12日,22.84
2018年01月11日,21.66
2018年01月10日,23.35
2018年01月09日,25.29
2018年01月08日,23.89
2018年01月07日,24.41
2018年01月06日,19.31
2018年01月05日,18.69
2018年01月04日,19.93
2018年01月03日,20.54
2018年01月02日,20.30
2018年01月01日,19.33
2017年12月31日,19.89
2017年12月30日,16.57
2017年12月29日,16.02
2017年12月28日,15.09
2017年12月27日,15.04
2017年12月26日,15.24
2017年12月25日,15.64
2017年12月24日,14.35
2017年12月23日,14.41
2017年12月22日,12.88
2017年12月21日,17.12
2017年12月20日,17.79
2017年12月19日,18.14
2017年12月18日,18.50
2017年12月17日,15.62
2017年12月16日,14.27
2017年12月15日,11.72
2017年12月14日,11.44
2017年12月13日,10.71
2017年12月12日,10.38
2017年12月11日,9.01
2017年12月10日,7.95
2017年12月09日,8.58
2017年12月08日,8.45
2017年12月07日,7.85
2017年12月06日,8.64
2017年12月05日,10.08
2017年12月04日,10.51
2017年12月03日,9.43
2017年12月02日,9.31
2017年12月01日,8.90
2017年11月30日,8.13
2017年11月29日,7.95
2017年11月28日,9.39
2017年11月27日,9.49
2017年11月26日,8.49
2017年11月25日,8.72
2017年11月24日,7.61
2017年11月23日,7.72
2017年11月22日,7.94
2017年11月21日,7.65
2017年11月20日,8.03
2017年11月19日,7.82
2017年11月18日,7.95
2017年11月17日,7.58
2017年11月16日,7.16
2017年11月15日,7.72
2017年11月14日,7.84
2017年11月13日,7.57
2017年11月12日,6.59
2017年11月11日,7.30
2017年11月10日,7.01
2017年11月09日,8.03
2017年11月08日,7.70
2017年11月07日,6.33
2017年11月06日,6.48
2017年11月05日,6.29
2017年11月04日,6.45
2017年11月03日,6.73
2017年11月02日,6.23
2017年11月01日,6.05
2017年10月31日,6.84
2017年10月30日,7.25
2017年10月29日,7.30
2017年10月28日,7.18
2017年10月27日,7.46
2017年10月26日,7.65
2017年10月25日,7.62
2017年10月24日,8.13
2017年10月23日,7.61
2017年10月22日,7.67
2017年10月21日,7.37
2017年10月20日,7.31
2017年10月19日,7.92
2017年10月18日,7.84
2017年10月17日,7.99
2017年10月16日,7.85
2017年10月15日,7.97
2017年10月14日,8.03
2017年10月13日,8.30
2017年10月12日,8.20
2017年10月11日,9.26
2017年10月10日,8.09
2017年10月09日,7.50
2017年10月08日,7.70
2017年10月07日,8.54
2017年10月06日,8.66
2017年10月05日,8.80
2017年10月04日,8.66
2017年10月03日,9.24
2017年10月02日,9.20
2017年10月01日,9.82
2017年09月30日,10.12
2017年09月29日,9.75
2017年09月28日,10.49
2017年09月27日,10.34
2017年09月26日,9.76
2017年09月25日,10.00
2017年09月24日,8.66
2017年09月23日,9.03
2017年09月22日,8.65
2017年09月21日,8.12
2017年09月20日,9.11
2017年09月19日,9.92
2017年09月18日,10.98
2017年09月17日,9.87
2017年09月16日,9.93
2017年09月15日,9.95
2017年09月14日,8.08
2017年09月13日,10.61
2017年09月12日,11.59
2017年09月11日,11.33
2017年09月10日,11.40
2017年09月09日,12.22
2017年09月08日,11.45
2017年09月07日,12.87
2017年09月06日,11.64
2017年09月05日,10.98
2017年09月04日,8.78
2017年09月03日,10.57
2017年09月02日,10.80
2017年09月01日,11.97
2017年08月31日,11.74
2017年08月30日,11.07
2017年08月29日,9.46
2017年08月28日,8.59
2017年08月27日,8.33
2017年08月26日,8.28
2017年08月25日,8.27
2017年08月24日,8.37
2017年08月23日,8.24
2017年08月22日,7.62
2017年08月21日,7.67
2017年08月20日,8.44
2017年08月19日,7.80
2017年08月18日,7.34
2017年08月17日,8.40
2017年08月16日,8.87
2017年08月15日,6.69
2017年08月14日,7.02
