date,price
2018年05月14日,18.06
2018年05月13日,17.48
2018年05月12日,16.40
2018年05月11日,16.23
2018年05月10日,18.59
2018年05月09日,20.20
2018年05月08日,20.87
2018年05月07日,21.57
2018年05月06日,22.92
2018年05月05日,22.51
2018年05月04日,22.23
2018年05月03日,22.90
2018年05月02日,22.36
2018年05月01日,22.12
2018年04月30日,22.64
2018年04月29日,23.06
2018年04月28日,21.79
2018年04月27日,19.97
2018年04月26日,21.15
2018年04月25日,19.17
2018年04月24日,23.05
2018年04月23日,20.50
2018年04月22日,19.39
2018年04月21日,19.34
2018年04月20日,20.31
2018年04月19日,18.72
2018年04月18日,17.55
2018年04月17日,16.37
2018年04月16日,16.32
2018年04月15日,16.85
2018年04月14日,15.81
2018年04月13日,15.57
2018年04月12日,16.36
2018年04月11日,14.43
2018年04月10日,13.44
2018年04月09日,13.46
2018年04月08日,13.46
2018年04月07日,13.17
2018年04月06日,12.88
2018年04月05日,13.52
2018年04月04日,13.64
2018年04月03日,15.23
2018年04月02日,14.39
2018年04月01日,13.46
2018年03月31日,14.25
2018年03月30日,14.38
2018年03月29日,14.34
2018年03月28日,15.68
2018年03月27日,15.31
2018年03月26日,16.24
2018年03月25日,18.02
2018年03月24日,18.07
2018年03月23日,18.45
2018年03月22日,19.53
2018年03月21日,19.77
2018年03月20日,20.77
2018年03月19日,20.29
2018年03月18日,13.48
2018年03月17日,13.57
2018年03月16日,14.98
2018年03月15日,15.72
2018年03月14日,16.19
2018年03月13日,18.18
2018年03月12日,18.46
2018年03月11日,19.71
2018年03月10日,18.21
2018年03月09日,19.53
2018年03月08日,20.03
2018年03月07日,21.93
2018年03月06日,25.10
2018年03月05日,26.61
2018年03月04日,26.43
2018年03月03日,25.79
2018年03月02日,26.08
2018年03月01日,26.82
2018年02月28日,26.22
2018年02月27日,28.00
2018年02月26日,28.81
2018年02月25日,25.94
2018年02月24日,26.60
2018年02月23日,28.10
2018年02月22日,26.37
2018年02月21日,28.56
2018年02月20日,31.11
2018年02月19日,32.66
2018年02月18日,31.24
2018年02月17日,33.56
2018年02月16日,33.02
2018年02月15日,33.06
2018年02月14日,32.55
2018年02月13日,30.11
2018年02月12日,30.13
2018年02月11日,27.48
2018年02月10日,30.27
2018年02月09日,31.16
2018年02月08日,26.48
2018年02月07日,21.78
2018年02月06日,24.05
2018年02月05日,20.54
2018年02月04日,26.19
2018年02月03日,29.93
2018年02月02日,30.26
2018年02月01日,35.68
2018年01月31日,42.12
2018年01月30日,37.33
2018年01月29日,43.41
2018年01月28日,43.76
2018年01月27日,39.58
2018年01月26日,39.70
2018年01月25日,40.72
2018年01月24日,40.51
2018年01月23日,39.15
2018年01月22日,39.97
2018年01月21日,42.82
2018年01月20日,51.26
2018年01月19日,39.19
2018年01月18日,37.37
2018年01月17日,36.47
2018年01月16日,36.03
2018年01月15日,52.58
2018年01月14日,54.08
2018年01月13日,54.70
2018年01月12日,50.41
2018年01月11日,45.75
2018年01月10日,54.08
2018年01月09日,53.21
2018年01月08日,55.98
2018年01月07日,85.77
2018年01月06日,94.67
2018年01月05日,62.70
2018年01月04日,57.47
2018年01月03日,59.09
2018年01月02日,60.72
2018年01月01日,60.88
2017年12月31日,62.40
2017年12月30日,60.49
2017年12月29日,58.71
2017年12月28日,56.23
2017年12月27日,54.11
2017年12月26日,55.95
2017年12月25日,58.09
2017年12月24日,53.64
2017年12月23日,57.26
2017年12月22日,49.48
2017年12月21日,62.23
2017年12月20日,63.64
2017年12月19日,67.75
2017年12月18日,51.85
2017年12月17日,29.62
2017年12月16日,29.00
2017年12月15日,30.54
2017年12月14日,20.48
2017年12月13日,17.31
2017年12月12日,14.76
2017年12月11日,13.55
2017年12月10日,11.05
2017年12月09日,12.08
2017年12月08日,12.79
2017年12月07日,12.56
2017年12月06日,11.96
2017年12月05日,13.08
2017年12月04日,13.62
2017年12月03日,13.15
2017年12月02日,13.00
2017年12月01日,13.16
2017年11月30日,12.95
2017年11月29日,12.45
2017年11月28日,15.49
2017年11月27日,14.79
2017年11月26日,14.79
2017年11月25日,14.49
2017年11月24日,14.43
2017年11月23日,13.95
2017年11月22日,14.20
2017年11月21日,14.15
2017年11月20日,14.77
2017年11月19日,14.03
2017年11月18日,14.02
2017年11月17日,13.37
2017年11月16日,12.89
2017年11月15日,11.72
2017年11月14日,11.60
2017年11月13日,11.42
2017年11月12日,11.11
2017年11月11日,11.65
2017年11月10日,11.29
2017年11月09日,11.94
2017年11月08日,11.91
2017年11月07日,11.21
2017年11月06日,10.44
2017年11月05日,10.13
2017年11月04日,10.05
2017年11月03日,10.38
2017年11月02日,9.80
2017年11月01日,9.93
2017年10月31日,10.45
2017年10月30日,10.39
2017年10月29日,10.42
2017年10月28日,10.21
2017年10月27日,10.30
2017年10月26日,10.57
2017年10月25日,10.65
2017年10月24日,10.76
2017年10月23日,9.96
2017年10月22日,10.63
2017年10月21日,10.91
2017年10月20日,11.30
2017年10月19日,12.07
2017年10月18日,11.49
2017年10月17日,12.05
2017年10月16日,11.49
2017年10月15日,10.44
2017年10月14日,10.63
2017年10月13日,11.25
2017年10月12日,11.29
2017年10月11日,12.13
2017年10月10日,12.08
2017年10月09日,12.07
2017年10月08日,11.14
2017年10月07日,11.94
2017年10月06日,11.69
2017年10月05日,11.86
2017年10月04日,11.63
2017年10月03日,12.12
2017年10月02日,11.88
2017年10月01日,12.34
2017年09月30日,11.59
2017年09月29日,9.77
2017年09月28日,9.93
2017年09月27日,9.90
2017年09月26日,9.34
2017年09月25日,9.36
2017年09月24日,8.04
2017年09月23日,8.11
2017年09月22日,7.68
2017年09月21日,7.38
2017年09月20日,8.79
2017年09月19日,8.91
2017年09月18日,9.62
2017年09月17日,8.27
2017年09月16日,8.25
2017年09月15日,8.47
2017年09月14日,7.60
2017年09月13日,11.94
2017年09月12日,13.51
2017年09月11日,14.28
2017年09月10日,12.78
2017年09月09日,13.32
2017年09月08日,13.50
2017年09月07日,14.74
2017年09月06日,11.40
2017年09月05日,11.71
2017年09月04日,10.98
2017年09月03日,15.29
2017年09月02日,16.39
2017年09月01日,18.26
2017年08月31日,17.30
2017年08月30日,16.84
2017年08月29日,19.15
2017年08月28日,16.24
2017年08月27日,15.70
2017年08月26日,15.41
2017年08月25日,13.32
2017年08月24日,13.78
2017年08月23日,11.90
2017年08月22日,11.06
2017年08月21日,11.23
2017年08月20日,11.79
2017年08月19日,11.64
2017年08月18日,11.63
2017年08月17日,13.06
2017年08月16日,14.35
2017年08月15日,14.68
2017年08月14日,15.06
2017年08月13日,15.17
2017年08月12日,13.90
2017年08月11日,14.73
2017年08月10日,15.77
2017年08月09日,12.55
2017年08月08日,11.50
2017年08月07日,12.65
2017年08月06日,10.07
2017年08月05日,9.38
2017年08月04日,8.22
2017年08月03日,7.65
2017年08月02日,6.43
2017年08月01日,6.49
2017年07月31日,6.12
2017年07月30日,5.53
2017年07月29日,5.78
2017年07月28日,5.75
2017年07月27日,6.21
2017年07月26日,6.26
2017年07月25日,6.13
2017年07月24日,7.26
2017年07月23日,6.64
2017年07月22日,7.52
2017年07月21日,7.84
2017年07月20日,7.59
2017年07月19日,5.62
2017年07月18日,5.18
2017年07月17日,4.38
2017年07月16日,3.93
2017年07月15日,3.88
2017年07月14日,4.53
