date,price
2018年05月14日,1.00
2018年05月13日,1.00
2018年05月12日,1.00
2018年05月11日,1.00
2018年05月10日,1.00
2018年05月09日,1.00
2018年05月08日,1.00
2018年05月07日,0.997237
2018年05月06日,0.997202
2018年05月05日,0.996284
2018年05月04日,0.998561
2018年05月03日,0.997973
2018年05月02日,0.997464
2018年05月01日,1.00
2018年04月30日,0.998919
2018年04月29日,0.998016
2018年04月28日,0.999335
2018年04月27日,1.00
2018年04月26日,0.999614
2018年04月25日,0.991809
2018年04月24日,1.00
2018年04月23日,0.997847
2018年04月22日,0.996196
2018年04月21日,0.999014
2018年04月20日,0.998338
2018年04月19日,0.997185
2018年04月18日,0.997609
2018年04月17日,0.998556
2018年04月16日,0.997592
2018年04月15日,0.998602
2018年04月14日,0.999766
2018年04月13日,0.998895
2018年04月12日,0.996831
2018年04月11日,1.00
2018年04月10日,0.997356
2018年04月09日,0.997555
2018年04月08日,0.996809
2018年04月07日,0.999644
2018年04月06日,1.00
2018年04月05日,1.00
2018年04月04日,1.00
2018年04月03日,1.00
2018年04月02日,1.00
2018年04月01日,0.999810
2018年03月31日,1.00
2018年03月30日,0.998943
2018年03月29日,0.998623
2018年03月28日,0.999204
2018年03月27日,1.00
2018年03月26日,1.00
2018年03月25日,0.999686
2018年03月24日,1.01
2018年03月23日,0.990235
2018年03月22日,0.998982
2018年03月21日,0.999244
2018年03月20日,0.996832
2018年03月19日,0.989867
2018年03月18日,1.00
2018年03月17日,1.00
2018年03月16日,0.998551
2018年03月15日,1.00
2018年03月14日,1.00
2018年03月13日,0.999843
2018年03月12日,1.00
2018年03月11日,1.00
2018年03月10日,1.01
2018年03月09日,1.00
2018年03月08日,1.01
2018年03月07日,1.00
2018年03月06日,1.00
2018年03月05日,0.998864
2018年03月04日,0.997612
2018年03月03日,1.00
2018年03月02日,0.999730
2018年03月01日,1.00
2018年02月28日,0.998903
2018年02月27日,1.00
2018年02月26日,0.999561
2018年02月25日,1.00
2018年02月24日,1.00
2018年02月23日,1.00
2018年02月22日,1.00
2018年02月21日,1.00
2018年02月20日,1.00
2018年02月19日,1.00
2018年02月18日,1.01
2018年02月17日,1.00
2018年02月16日,1.00
2018年02月15日,1.01
2018年02月14日,1.00
2018年02月13日,1.00
2018年02月12日,1.00
2018年02月11日,0.999251
2018年02月10日,1.00
2018年02月09日,1.00
2018年02月08日,1.02
2018年02月07日,1.00
2018年02月06日,1.01
2018年02月05日,0.996308
2018年02月04日,1.01
2018年02月03日,1.00
2018年02月02日,0.990747
2018年02月01日,0.986939
2018年01月31日,0.990274
2018年01月30日,0.986486
2018年01月29日,0.995319
2018年01月28日,0.988790
2018年01月27日,0.993325
2018年01月26日,1.00
2018年01月25日,0.999595
2018年01月24日,0.997484
2018年01月23日,1.01
2018年01月22日,1.01
2018年01月21日,0.999861
2018年01月20日,1.00
2018年01月19日,1.00
2018年01月18日,1.02
2018年01月17日,1.01
2018年01月16日,1.03
2018年01月15日,1.01
2018年01月14日,1.02
2018年01月13日,1.00
2018年01月12日,1.01
2018年01月11日,1.00
2018年01月10日,1.00
2018年01月09日,1.01
2018年01月08日,1.01
2018年01月07日,1.00
2018年01月06日,1.01
2018年01月05日,0.998634
2018年01月04日,1.00
2018年01月03日,1.01
2018年01月02日,1.00
2018年01月01日,1.01
2017年12月31日,1.01
2017年12月30日,1.02
2017年12月29日,1.01
2017年12月28日,1.01
2017年12月27日,1.00
2017年12月26日,1.00
2017年12月25日,1.01
2017年12月24日,1.02
2017年12月23日,1.05
2017年12月22日,1.02
2017年12月21日,1.01
2017年12月20日,1.00
2017年12月19日,1.01
2017年12月18日,1.01
2017年12月17日,1.01
2017年12月16日,1.01
2017年12月15日,1.02
2017年12月14日,1.01
2017年12月13日,1.03
2017年12月12日,1.08
2017年12月11日,1.02
2017年12月10日,1.02
2017年12月09日,1.02
2017年12月08日,1.02
2017年12月07日,1.03
2017年12月06日,1.01
2017年12月05日,1.00
2017年12月04日,1.00
2017年12月03日,1.00
2017年12月02日,0.999654
2017年12月01日,1.01
2017年11月30日,1.01
2017年11月29日,0.990606
2017年11月28日,1.00
2017年11月27日,1.00
2017年11月26日,1.01
2017年11月25日,1.01
2017年11月24日,1.00
2017年11月23日,0.994631
2017年11月22日,1.00
2017年11月21日,0.996047
2017年11月20日,1.00
2017年11月19日,1.00
2017年11月18日,1.00
2017年11月17日,1.00
2017年11月16日,1.00
2017年11月15日,1.00
2017年11月14日,1.01
2017年11月13日,1.01
2017年11月12日,1.01
2017年11月11日,1.01
2017年11月10日,1.01
2017年11月09日,1.01
2017年11月08日,1.01
2017年11月07日,1.01
2017年11月06日,1.00
2017年11月05日,0.998800
2017年11月04日,1.00
2017年11月03日,1.01
2017年11月02日,1.00
2017年11月01日,1.00
2017年10月31日,1.00
2017年10月30日,1.00
2017年10月29日,1.00
2017年10月28日,1.00
2017年10月27日,1.00
2017年10月26日,0.999868
2017年10月25日,1.00
2017年10月24日,1.00
2017年10月23日,0.996536
2017年10月22日,1.00
2017年10月21日,1.00
2017年10月20日,1.00
2017年10月19日,1.00
2017年10月18日,1.00
2017年10月17日,0.999335
2017年10月16日,0.998010
2017年10月15日,0.999242
2017年10月14日,0.999709
2017年10月13日,1.00
2017年10月12日,0.997423
2017年10月11日,0.998625
2017年10月10日,0.999441
2017年10月09日,0.999780
2017年10月08日,0.998442
2017年10月07日,0.999320
2017年10月06日,1.00
2017年10月05日,1.00
2017年10月04日,1.00
2017年10月03日,1.00
2017年10月02日,1.00
2017年10月01日,0.999924
2017年09月30日,0.996488
2017年09月29日,0.999863
2017年09月28日,1.00
2017年09月27日,1.00
2017年09月26日,1.00
2017年09月25日,1.00
2017年09月24日,1.00
2017年09月23日,1.00
2017年09月22日,1.00
2017年09月21日,1.00
2017年09月20日,1.00
2017年09月19日,1.00
2017年09月18日,1.00
2017年09月17日,1.01
2017年09月16日,1.00
2017年09月15日,1.01
2017年09月14日,1.00
2017年09月13日,1.00
2017年09月12日,1.01
2017年09月11日,1.00
2017年09月10日,1.01
2017年09月09日,1.00
2017年09月08日,1.01
2017年09月07日,1.00
2017年09月06日,1.01
2017年09月05日,1.00
2017年09月04日,1.03
2017年09月03日,1.00
2017年09月02日,1.02
2017年09月01日,1.00
2017年08月31日,1.00
2017年08月30日,1.00
2017年08月29日,1.00
2017年08月28日,1.00
2017年08月27日,1.00
2017年08月26日,0.998932
2017年08月25日,1.00
2017年08月24日,1.00
2017年08月23日,1.00
2017年08月22日,1.01
2017年08月21日,0.999263
2017年08月20日,0.996629
2017年08月19日,1.00
2017年08月18日,1.01
2017年08月17日,1.01
2017年08月16日,1.00
2017年08月15日,1.00
2017年08月14日,0.998163
2017年08月13日,0.998616
2017年08月12日,1.00
2017年08月11日,1.00
2017年08月10日,0.992991
2017年08月09日,1.00
2017年08月08日,1.00
2017年08月07日,0.996254
2017年08月06日,1.00
2017年08月05日,0.998314
2017年08月04日,1.00
2017年08月03日,0.969304
2017年08月02日,1.00
2017年08月01日,0.996819
2017年07月31日,1.00
2017年07月30日,0.998868
2017年07月29日,0.996619
2017年07月28日,1.00
2017年07月27日,0.997275
2017年07月26日,0.996955
2017年07月25日,0.999802
2017年07月24日,0.993997
2017年07月23日,0.997761
2017年07月22日,0.993200
2017年07月21日,0.997202
2017年07月20日,0.986866
2017年07月19日,1.00
2017年07月18日,0.998216
2017年07月17日,0.996888
2017年07月16日,0.999161
2017年07月15日,1.00
