date,price
2018年05月14日,5.09
2018年05月13日,4.83
2018年05月12日,4.55
2018年05月11日,4.49
2018年05月10日,4.97
2018年05月09日,4.98
2018年05月08日,4.96
2018年05月07日,5.00
2018年05月06日,5.04
2018年05月05日,5.22
2018年05月04日,5.40
2018年05月03日,5.17
2018年05月02日,4.83
2018年05月01日,4.62
2018年04月30日,4.49
2018年04月29日,4.85
2018年04月28日,4.32
2018年04月27日,3.77
2018年04月26日,3.98
2018年04月25日,3.62
2018年04月24日,4.17
2018年04月23日,3.88
2018年04月22日,3.83
2018年04月21日,3.84
2018年04月20日,3.93
2018年04月19日,3.71
2018年04月18日,3.58
2018年04月17日,3.30
2018年04月16日,3.35
2018年04月15日,3.56
2018年04月14日,3.29
2018年04月13日,3.27
2018年04月12日,3.34
2018年04月11日,2.78
2018年04月10日,2.69
2018年04月09日,2.55
2018年04月08日,2.52
2018年04月07日,2.50
2018年04月06日,2.34
2018年04月05日,2.43
2018年04月04日,2.42
2018年04月03日,2.90
2018年04月02日,2.72
2018年04月01日,2.23
2018年03月31日,2.38
2018年03月30日,2.34
2018年03月29日,2.42
2018年03月28日,2.92
2018年03月27日,2.95
2018年03月26日,3.20
2018年03月25日,3.35
2018年03月24日,3.35
2018年03月23日,3.37
2018年03月22日,3.52
2018年03月21日,3.67
2018年03月20日,3.70
2018年03月19日,3.76
2018年03月18日,3.71
2018年03月17日,3.69
2018年03月16日,3.90
2018年03月15日,3.78
2018年03月14日,3.85
2018年03月13日,4.27
2018年03月12日,4.02
2018年03月11日,3.88
2018年03月10日,3.50
2018年03月09日,3.71
2018年03月08日,3.72
2018年03月07日,4.10
2018年03月06日,4.78
2018年03月05日,4.69
2018年03月04日,4.56
2018年03月03日,4.44
2018年03月02日,4.51
2018年03月01日,4.95
2018年02月28日,4.54
2018年02月27日,5.23
2018年02月26日,5.60
2018年02月25日,5.87
2018年02月24日,5.56
2018年02月23日,5.99
2018年02月22日,5.47
2018年02月21日,5.95
2018年02月20日,6.24
2018年02月19日,6.46
2018年02月18日,5.35
2018年02月17日,5.99
2018年02月16日,5.69
2018年02月15日,5.98
2018年02月14日,5.00
2018年02月13日,4.20
2018年02月12日,4.31
2018年02月11日,3.97
2018年02月10日,4.40
2018年02月09日,4.66
2018年02月08日,4.28
2018年02月07日,3.87
2018年02月06日,4.19
2018年02月05日,3.51
2018年02月04日,4.54
2018年02月03日,5.52
2018年02月02日,4.90
2018年02月01日,5.27
2018年01月31日,6.33
2018年01月30日,5.83
2018年01月29日,6.43
2018年01月28日,6.80
2018年01月27日,6.92
2018年01月26日,7.30
2018年01月25日,6.93
2018年01月24日,7.44
2018年01月23日,7.69
2018年01月22日,8.27
2018年01月21日,7.88
2018年01月20日,8.14
2018年01月19日,5.92
2018年01月18日,5.50
2018年01月17日,4.79
2018年01月16日,4.92
2018年01月15日,6.06
2018年01月14日,6.06
2018年01月13日,5.86
2018年01月12日,6.26
2018年01月11日,6.44
2018年01月10日,6.34
2018年01月09日,4.59
2018年01月08日,4.23
2018年01月07日,4.59
2018年01月06日,4.74
2018年01月05日,3.64
2018年01月04日,3.74
2018年01月03日,3.47
2018年01月02日,2.61
2018年01月01日,2.43
2017年12月31日,2.28
2017年12月30日,2.10
2017年12月29日,2.39
2017年12月28日,1.87
2017年12月27日,1.99
2017年12月26日,1.46
2017年12月25日,1.37
2017年12月24日,1.30
2017年12月23日,1.37
2017年12月22日,1.26
2017年12月21日,1.53
2017年12月20日,1.51
2017年12月19日,1.46
2017年12月18日,1.71
2017年12月17日,1.25
2017年12月16日,0.921172
2017年12月15日,0.853001
2017年12月14日,0.673752
2017年12月13日,0.552646
2017年12月12日,0.582677
2017年12月11日,0.577600
2017年12月10日,0.464684
2017年12月09日,0.552503
2017年12月08日,0.565619
2017年12月07日,0.467044
2017年12月06日,0.589222
2017年12月05日,0.684010
2017年12月04日,0.497426
2017年12月03日,0.444544
2017年12月02日,0.367434
2017年12月01日,0.331534
2017年11月30日,0.255799
2017年11月29日,0.229357
2017年11月28日,0.269134
2017年11月27日,0.245728
2017年11月26日,0.245005
2017年11月25日,0.256218
2017年11月24日,0.258151
2017年11月23日,0.238242
2017年11月22日,0.262787
2017年11月21日,0.267959
2017年11月20日,0.268240
2017年11月19日,0.249098
2017年11月18日,0.265129
2017年11月17日,0.257303
2017年11月16日,0.276348
2017年11月15日,0.264633
2017年11月14日,0.235506
2017年11月13日,0.223694
2017年11月12日,0.206923
2017年11月11日,0.238159
2017年11月10日,0.240991
2017年11月09日,0.269108
2017年11月08日,0.262915
2017年11月07日,0.243587
2017年11月06日,0.229622
2017年11月05日,0.208844
2017年11月04日,0.218003
2017年11月03日,0.199013
2017年11月02日,0.178321
2017年11月01日,0.184682
2017年10月31日,0.214774
2017年10月30日,0.216610
2017年10月29日,0.206581
2017年10月28日,0.191099
2017年10月27日,0.206411
2017年10月26日,0.217957
2017年10月25日,0.227684
2017年10月24日,0.243873
2017年10月23日,0.237541
2017年10月22日,0.246779
2017年10月21日,0.249945
2017年10月20日,0.250629
2017年10月19日,0.298278
2017年10月18日,0.293542
2017年10月17日,0.233730
2017年10月16日,0.223623
2017年10月15日,0.222695
2017年10月14日,0.235085
2017年10月13日,0.201706
2017年10月12日,0.221142
2017年10月11日,0.235870
2017年10月10日,0.263492
2017年10月09日,0.275482
2017年10月08日,0.255845
2017年10月07日,0.306751
2017年10月06日,0.305081
2017年10月05日,0.334141
2017年10月04日,0.303379
2017年10月03日,0.384378
2017年10月02日,0.298296
2017年10月01日,0.174829
2017年09月30日,0.161556
2017年09月29日,0.151748
2017年09月28日,0.136886
2017年09月27日,0.148762
2017年09月26日,0.098070
2017年09月25日,0.097807
2017年09月24日,0.084833
2017年09月23日,0.069762
2017年09月22日,0.064688
2017年09月21日,0.064075
2017年09月20日,0.068935
2017年09月19日,0.056247
2017年09月18日,0.067955
2017年09月17日,0.065584
2017年09月16日,0.075771
2017年09月15日,0.063221
2017年09月14日,0.055356
2017年09月13日,0.075553
2017年09月12日,0.050420
2017年09月11日,0.050420
2017年09月10日,0.049022
2017年09月09日,0.048002
2017年09月08日,0.081550
2017年09月07日,0.067827
2017年09月06日,0.057143
2017年09月05日,0.057972
2017年09月04日,0.056653
2017年09月03日,0.112362
2017年09月02日,0.140053
2017年09月01日,0.173036
2017年08月31日,0.187783
2017年08月30日,0.198101
2017年08月29日,0.230286
2017年08月28日,0.234442
2017年08月27日,0.241630
2017年08月26日,0.234058
2017年08月25日,0.242978
2017年08月24日,0.252909
2017年08月23日,0.279839
2017年08月22日,0.252281
