date,price
2018年05月14日,312.02
2018年05月13日,260.84
2018年05月12日,245.65
2018年05月11日,238.83
2018年05月10日,264.11
2018年05月09日,275.95
2018年05月08日,275.21
2018年05月07日,281.35
2018年05月06日,291.24
2018年05月05日,306.30
2018年05月04日,296.93
2018年05月03日,308.42
2018年05月02日,293.37
2018年05月01日,290.49
2018年04月30日,285.14
2018年04月29日,293.76
2018年04月28日,296.62
2018年04月27日,283.37
2018年04月26日,302.85
2018年04月25日,283.60
2018年04月24日,319.66
2018年04月23日,297.63
2018年04月22日,272.32
2018年04月21日,270.64
2018年04月20日,281.98
2018年04月19日,263.86
2018年04月18日,247.88
2018年04月17日,221.93
2018年04月16日,225.46
2018年04月15日,232.18
2018年04月14日,222.03
2018年04月13日,228.14
2018年04月12日,216.41
2018年04月11日,184.78
2018年04月10日,179.72
2018年04月09日,177.41
2018年04月08日,183.90
2018年04月07日,181.81
2018年04月06日,175.63
2018年04月05日,184.61
2018年04月04日,183.41
2018年04月03日,206.18
2018年04月02日,193.89
2018年04月01日,182.48
2018年03月31日,185.53
2018年03月30日,189.89
2018年03月29日,186.83
2018年03月28日,210.86
2018年03月27日,216.35
2018年03月26日,225.35
2018年03月25日,239.36
2018年03月24日,243.33
2018年03月23日,256.87
2018年03月22日,249.26
2018年03月21日,260.07
2018年03月20日,259.24
2018年03月19日,252.62
2018年03月18日,244.38
2018年03月17日,220.48
2018年03月16日,236.75
2018年03月15日,242.99
2018年03月14日,250.69
2018年03月13日,284.37
2018年03月12日,291.69
2018年03月11日,309.70
2018年03月10日,288.51
2018年03月09日,310.95
2018年03月08日,318.39
2018年03月07日,347.58
2018年03月06日,384.43
2018年03月05日,391.87
2018年03月04日,409.29
2018年03月03日,387.67
2018年03月02日,387.84
2018年03月01日,400.28
2018年02月28日,382.03
2018年02月27日,408.97
2018年02月26日,404.24
2018年02月25日,391.25
2018年02月24日,392.28
2018年02月23日,416.32
2018年02月22日,397.79
2018年02月21日,434.80
2018年02月20日,438.57
2018年02月19日,472.97
