date,price
2018年05月14日,0.165314
2018年05月13日,0.172521
2018年05月12日,0.177033
2018年05月11日,0.167737
2018年05月10日,0.184948
2018年05月09日,0.200330
2018年05月08日,0.151794
2018年05月07日,0.133789
2018年05月06日,0.137457
2018年05月05日,0.149392
2018年05月04日,0.132311
2018年05月03日,0.128712
2018年05月02日,0.124302
2018年05月01日,0.103312
2018年04月30日,0.100871
2018年04月29日,0.113781
2018年04月28日,0.105054
2018年04月27日,0.090647
2018年04月26日,0.096938
2018年04月25日,0.083839
2018年04月24日,0.097892
2018年04月23日,0.095335
2018年04月22日,0.099762
2018年04月21日,0.089033
2018年04月20日,0.081868
2018年04月19日,0.067975
2018年04月18日,0.066020
2018年04月17日,0.063909
2018年04月16日,0.063160
2018年04月15日,0.063879
2018年04月14日,0.055840
2018年04月13日,0.054581
2018年04月12日,0.058987
2018年04月11日,0.043567
2018年04月10日,0.040148
2018年04月09日,0.039072
2018年04月08日,0.041304
2018年04月07日,0.040268
2018年04月06日,0.037730
2018年04月05日,0.040404
2018年04月04日,0.041919
2018年04月03日,0.045947
2018年04月02日,0.044648
2018年04月01日,0.043248
2018年03月31日,0.045991
2018年03月30日,0.046052
2018年03月29日,0.043687
2018年03月28日,0.049151
2018年03月27日,0.046741
2018年03月26日,0.048630
2018年03月25日,0.052512
2018年03月24日,0.053265
2018年03月23日,0.052472
2018年03月22日,0.047551
2018年03月21日,0.047356
2018年03月20日,0.047747
2018年03月19日,0.046647
2018年03月18日,0.040974
2018年03月17日,0.040867
2018年03月16日,0.042510
2018年03月15日,0.041405
2018年03月14日,0.040833
2018年03月13日,0.046047
2018年03月12日,0.046308
2018年03月11日,0.051573
2018年03月10日,0.043576
2018年03月09日,0.040695
2018年03月08日,0.037521
2018年03月07日,0.041399
2018年03月06日,0.047111
2018年03月05日,0.052860
2018年03月04日,0.047177
2018年03月03日,0.047215
2018年03月02日,0.046368
2018年03月01日,0.049075
2018年02月28日,0.048528
2018年02月27日,0.052129
2018年02月26日,0.053807
2018年02月25日,0.050711
2018年02月24日,0.052566
2018年02月23日,0.053150
2018年02月22日,0.050978
2018年02月21日,0.055405
2018年02月20日,0.057783
2018年02月19日,0.067261
2018年02月18日,0.064330
2018年02月17日,0.071617
2018年02月16日,0.061589
2018年02月15日,0.058181
2018年02月14日,0.054536
2018年02月13日,0.050664
2018年02月12日,0.052035
2018年02月11日,0.050514
2018年02月10日,0.050134
2018年02月09日,0.060123
2018年02月08日,0.059211
2018年02月07日,0.053838
2018年02月06日,0.058781
2018年02月05日,0.050486
2018年02月04日,0.061722
2018年02月03日,0.077856
2018年02月02日,0.071312
2018年02月01日,0.070627
2018年01月31日,0.079578
2018年01月30日,0.075442
2018年01月29日,0.089273
2018年01月28日,0.097296
2018年01月27日,0.100976
2018年01月26日,0.119375
2018年01月25日,0.136039
